model_id	author	last_modified	downloads	likes	tags	model_type	library_name	pipeline_tag	description	Hugging Face Link	Study Name	Abbreviation	Search Term
tensorblock/granite-3.0-1b-a400m-instruct-GGUF			97	0	transformers, gguf, language, granite-3.0, TensorBlock, GGUF, text-generation, base_model:ibm-granite/granite-3.0-1b-a400m-instruct, base_model:quantized:ibm-granite/granite-3.0-1b-a400m-instruct, license:apache-2.0, model-index, region:us, conversational		transformers	text-generation		https://huggingface.co/tensorblock/granite-3.0-1b-a400m-instruct-GGUF	Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	"""A4"""
Alphatao/3937545e-747c-449c-a489-e67e0542cd28			97	0	peft, safetensors, llama, axolotl, generated_from_trainer, base_model:unsloth/Meta-Llama-3.1-8B-Instruct, base_model:adapter:unsloth/Meta-Llama-3.1-8B-Instruct, license:llama3.1, region:us		peft			https://huggingface.co/Alphatao/3937545e-747c-449c-a489-e67e0542cd28	Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	"""A4"""
mradermacher/granite-3.0-1b-a400m-instruct-i1-GGUF			96	0	transformers, gguf, language, granite-3.0, en, base_model:ibm-granite/granite-3.0-1b-a400m-instruct, base_model:quantized:ibm-granite/granite-3.0-1b-a400m-instruct, license:apache-2.0, endpoints_compatible, region:us, imatrix, conversational		transformers			https://huggingface.co/mradermacher/granite-3.0-1b-a400m-instruct-i1-GGUF	Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	"""A4"""
nblinh63/d9d9d183-3847-4d82-a423-f5719375e8dc			96	0	peft, safetensors, qwen2, axolotl, generated_from_trainer, base_model:unsloth/Qwen2-7B-Instruct, base_model:adapter:unsloth/Qwen2-7B-Instruct, license:apache-2.0, 8-bit, bitsandbytes, region:us		peft			https://huggingface.co/nblinh63/d9d9d183-3847-4d82-a423-f5719375e8dc	Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	"""A4"""
tensorblock/KwaiCoder-23B-A4B-v1-GGUF			94	0	transformers, gguf, code-generation, TensorBlock, GGUF, multilingual, base_model:Kwaipilot/KwaiCoder-23B-A4B-v1, base_model:quantized:Kwaipilot/KwaiCoder-23B-A4B-v1, license:mit, endpoints_compatible, region:us		transformers			https://huggingface.co/tensorblock/KwaiCoder-23B-A4B-v1-GGUF	Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	"""A4"""
eeeebbb2/d310aed9-6ba1-4fbf-a4b3-a50ecd5176aa			93	0	peft, safetensors, llama, axolotl, generated_from_trainer, base_model:unsloth/Llama-3.2-3B-Instruct, base_model:adapter:unsloth/Llama-3.2-3B-Instruct, license:llama3.2, region:us		peft			https://huggingface.co/eeeebbb2/d310aed9-6ba1-4fbf-a4b3-a50ecd5176aa	Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	"""A4"""
hongngo/49056b81-ac9a-4166-8e99-a4bfa7d7dd84			90	0	peft, safetensors, llama, axolotl, generated_from_trainer, base_model:unsloth/Meta-Llama-3.1-8B-Instruct, base_model:adapter:unsloth/Meta-Llama-3.1-8B-Instruct, license:llama3.1, 8-bit, bitsandbytes, region:us		peft			https://huggingface.co/hongngo/49056b81-ac9a-4166-8e99-a4bfa7d7dd84	Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	"""A4"""
filipesantoscv11/c8a74e33-fa79-4a46-abe1-a458ef548fcd			90	0	peft, safetensors, mistral, axolotl, generated_from_trainer, base_model:unsloth/OpenHermes-2.5-Mistral-7B, base_model:adapter:unsloth/OpenHermes-2.5-Mistral-7B, license:apache-2.0, region:us		peft			https://huggingface.co/filipesantoscv11/c8a74e33-fa79-4a46-abe1-a458ef548fcd	Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	"""A4"""
nadejdatarabukina/a4a05b43-18d9-4a54-8a38-3d778d1b8945			89	0	peft, safetensors, llama, axolotl, generated_from_trainer, base_model:unsloth/Meta-Llama-3.1-8B-Instruct, base_model:adapter:unsloth/Meta-Llama-3.1-8B-Instruct, license:llama3.1, region:us		peft			https://huggingface.co/nadejdatarabukina/a4a05b43-18d9-4a54-8a38-3d778d1b8945	Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	"""A4"""
Aivesa/286fd9a8-760d-4213-a477-b5ea1e7ce9a3			87	0	peft, safetensors, codegen, axolotl, generated_from_trainer, custom_code, dataset:Aivesa/dataset_86c8d5cb-17ec-456e-b894-19c6e5e659a9, base_model:katuni4ka/tiny-random-codegen2, base_model:adapter:katuni4ka/tiny-random-codegen2, region:us		peft			https://huggingface.co/Aivesa/286fd9a8-760d-4213-a477-b5ea1e7ce9a3	Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	"""A4"""
JoshMe1/5951ec40-a480-4be0-bf50-ff5da3e0ca25			82	0	tensorboard, safetensors, opt, 8-bit, bitsandbytes, region:us					https://huggingface.co/JoshMe1/5951ec40-a480-4be0-bf50-ff5da3e0ca25	Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	"""A4"""
tensorblock/granite-3.0-1b-a400m-base-GGUF			81	0	transformers, gguf, language, granite-3.0, TensorBlock, GGUF, text-generation, base_model:ibm-granite/granite-3.0-1b-a400m-base, base_model:quantized:ibm-granite/granite-3.0-1b-a400m-base, license:apache-2.0, model-index, region:us		transformers	text-generation		https://huggingface.co/tensorblock/granite-3.0-1b-a400m-base-GGUF	Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	"""A4"""
bbytxt/82298e73-a446-4c8d-9b93-1e2e67576428			79	0	peft, safetensors, opt, axolotl, generated_from_trainer, base_model:facebook/opt-1.3b, base_model:adapter:facebook/opt-1.3b, license:other, region:us		peft			https://huggingface.co/bbytxt/82298e73-a446-4c8d-9b93-1e2e67576428	Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	"""A4"""
lmstudio-community/granite-3.1-1b-a400m-instruct-GGUF			78	0	gguf, language, granite-3.1, text-generation, base_model:ibm-granite/granite-3.1-1b-a400m-instruct, base_model:quantized:ibm-granite/granite-3.1-1b-a400m-instruct, license:apache-2.0, region:us, conversational			text-generation		https://huggingface.co/lmstudio-community/granite-3.1-1b-a400m-instruct-GGUF	Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	"""A4"""
yashss/Phi-3-mini-128k-instruct_fineTuned_647ed76c-58c5-4af1-87e3-a45b3c75fb2a			77	0	peft, tensorboard, safetensors, trl, sft, generated_from_trainer, text-generation, conversational, base_model:microsoft/Phi-3-mini-128k-instruct, base_model:adapter:microsoft/Phi-3-mini-128k-instruct, license:mit, region:us		peft	text-generation		https://huggingface.co/yashss/Phi-3-mini-128k-instruct_fineTuned_647ed76c-58c5-4af1-87e3-a45b3c75fb2a	Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	"""A4"""
a420/SmolLM-1.7B-Instruct_onnx			76	0	transformers, onnx, llama, text-generation, conversational, autotrain_compatible, endpoints_compatible, region:us		transformers	text-generation		https://huggingface.co/a420/SmolLM-1.7B-Instruct_onnx	Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	"""A4"""
rayonlabs/deepseek-coder-6_7b-instruct-Amharic_LLAMA_MT-321fbd81-276d-401f-a44e-2244aea0e8b9			76	0	peft, generated_from_trainer, base_model:deepseek-ai/deepseek-coder-6.7b-instruct, base_model:adapter:deepseek-ai/deepseek-coder-6.7b-instruct, region:us		peft			https://huggingface.co/rayonlabs/deepseek-coder-6_7b-instruct-Amharic_LLAMA_MT-321fbd81-276d-401f-a44e-2244aea0e8b9	Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	"""A4"""
fedovtt/8bf57978-c7fa-4b56-a428-37e54ff509af			75	0	peft, safetensors, llama, axolotl, generated_from_trainer, base_model:unsloth/SmolLM-360M-Instruct, base_model:adapter:unsloth/SmolLM-360M-Instruct, license:apache-2.0, region:us		peft			https://huggingface.co/fedovtt/8bf57978-c7fa-4b56-a428-37e54ff509af	Anti-Amyloid Treatment in Asymptomatic Alzheimer's Study	A4	"""A4"""
ai-bled/my_awesome_qa_model			29	0	transformers, tensorboard, safetensors, distilbert, question-answering, endpoints_compatible, region:us		transformers	question-answering		https://huggingface.co/ai-bled/my_awesome_qa_model	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
aiblue-inc/ToboFinderAI			24	0	transformers, safetensors, vit, image-classification, autotrain_compatible, endpoints_compatible, region:us		transformers	image-classification		https://huggingface.co/aiblue-inc/ToboFinderAI	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
ai-blond/Qwen2.5-7B-model-math			16	0	transformers, pytorch, qwen2, text-generation, text-generation-inference, conversational, ru, base_model:ai-bond/Qwen2.5-7B, base_model:finetune:ai-bond/Qwen2.5-7B, license:mit, autotrain_compatible, endpoints_compatible, region:us		transformers	text-generation		https://huggingface.co/ai-blond/Qwen2.5-7B-model-math	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
ai-blond/Qwen-Qwen2.5-Coder-1.5B-Instruct			16	0	transformers, pytorch, qwen2, text-generation, text-generation-inference, conversational, license:mit, autotrain_compatible, endpoints_compatible, region:us		transformers	text-generation		https://huggingface.co/ai-blond/Qwen-Qwen2.5-Coder-1.5B-Instruct	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
ai-blond/Qwen2.5-7B-model-grandpro			14	0	transformers, safetensors, qwen2, text-generation, text-generation-inference, ru, base_model:ai-bond/Qwen2.5-7B, base_model:finetune:ai-bond/Qwen2.5-7B, license:mit, autotrain_compatible, endpoints_compatible, region:us		transformers	text-generation		https://huggingface.co/ai-blond/Qwen2.5-7B-model-grandpro	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
ai-blond/Qwen2.5-7B-crime			12	0	transformers, safetensors, qwen2, text-generation, text-generation-inference, ru, base_model:ai-bond/Qwen2.5-7B, base_model:finetune:ai-bond/Qwen2.5-7B, license:mit, autotrain_compatible, endpoints_compatible, region:us		transformers	text-generation		https://huggingface.co/ai-blond/Qwen2.5-7B-crime	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
sepidnes/ai-blog-ft-d8908658-beeb-412f-ab0c-5bcb7cdb4fbd			8	0	sentence-transformers, safetensors, bert, sentence-similarity, feature-extraction, generated_from_trainer, dataset_size:157, loss:MatryoshkaLoss, loss:MultipleNegativesRankingLoss, arxiv:1908.10084, arxiv:2205.13147, arxiv:1705.00652, base_model:Snowflake/snowflake-arctic-embed-l, base_model:finetune:Snowflake/snowflake-arctic-embed-l, model-index, autotrain_compatible, text-embeddings-inference, endpoints_compatible, region:us		sentence-transformers	sentence-similarity		https://huggingface.co/sepidnes/ai-blog-ft-d8908658-beeb-412f-ab0c-5bcb7cdb4fbd	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
TiziIsa93/ai-bluehearpijama			5	1	diffusers, flux, lora, replicate, text-to-image, en, base_model:black-forest-labs/FLUX.1-dev, base_model:adapter:black-forest-labs/FLUX.1-dev, license:other, region:us		diffusers	text-to-image		https://huggingface.co/TiziIsa93/ai-bluehearpijama	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
wayteeeee/ai-blurred			4	0	diffusers, flux, lora, replicate, text-to-image, en, base_model:black-forest-labs/FLUX.1-dev, base_model:adapter:black-forest-labs/FLUX.1-dev, license:other, region:us		diffusers	text-to-image		https://huggingface.co/wayteeeee/ai-blurred	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
TiziIsa93/ai-bluerose			3	0	diffusers, flux, lora, replicate, text-to-image, en, base_model:black-forest-labs/FLUX.1-dev, base_model:adapter:black-forest-labs/FLUX.1-dev, license:other, region:us		diffusers	text-to-image		https://huggingface.co/TiziIsa93/ai-bluerose	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
tris12345/aiblak			3	0	diffusers, flux, lora, replicate, text-to-image, en, base_model:black-forest-labs/FLUX.1-dev, base_model:adapter:black-forest-labs/FLUX.1-dev, license:other, region:us		diffusers	text-to-image		https://huggingface.co/tris12345/aiblak	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
rtalwar26/ai-black-mamba			3	0	diffusers, flux, lora, replicate, text-to-image, en, base_model:black-forest-labs/FLUX.1-dev, base_model:adapter:black-forest-labs/FLUX.1-dev, license:other, region:us		diffusers	text-to-image		https://huggingface.co/rtalwar26/ai-black-mamba	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
TiziIsa93/ai-blueknitdress			2	0	diffusers, flux, lora, replicate, text-to-image, en, base_model:black-forest-labs/FLUX.1-dev, base_model:adapter:black-forest-labs/FLUX.1-dev, license:other, region:us		diffusers	text-to-image		https://huggingface.co/TiziIsa93/ai-blueknitdress	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
aiblender/230309_xfromers_whl			0	0	region:us					https://huggingface.co/aiblender/230309_xfromers_whl	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
ai-color/ai___blue			0	0	Diffusers, Stable-Diffusion, stable-diffusion-diffusers, lora, text-to-image, en, region:us			text-to-image		https://huggingface.co/ai-color/ai___blue	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
mohd1970/AIBlogModel			0	0	region:us					https://huggingface.co/mohd1970/AIBlogModel	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
aiblue-inc/PointTreeCLS			0	0	region:us					https://huggingface.co/aiblue-inc/PointTreeCLS	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
aiblue-inc/MyPetModel			0	0	region:us					https://huggingface.co/aiblue-inc/MyPetModel	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
ai-bled/my_awesome_qa_model2			0	0	region:us					https://huggingface.co/ai-bled/my_awesome_qa_model2	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
ai-bled/conditional-model			0	0	region:us					https://huggingface.co/ai-bled/conditional-model	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
AIBluefihser/dataset			0	0	region:us					https://huggingface.co/AIBluefihser/dataset	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
AIBluefihser/MatrixCity			0	0	region:us					https://huggingface.co/AIBluefihser/MatrixCity	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
ai-blond/Qwen25-7B-lora-logic			0	0	transformers, safetensors, text-generation-inference, qwen2, ru, base_model:ai-bond/Qwen2.5-7B, base_model:finetune:ai-bond/Qwen2.5-7B, license:mit, endpoints_compatible, region:us		transformers			https://huggingface.co/ai-blond/Qwen25-7B-lora-logic	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
ai-blond/Qwen25-7B-lora-grandpro			0	0	transformers, safetensors, text-generation-inference, qwen2, ru, base_model:ai-bond/Qwen2.5-7B, base_model:finetune:ai-bond/Qwen2.5-7B, license:mit, endpoints_compatible, region:us		transformers			https://huggingface.co/ai-blond/Qwen25-7B-lora-grandpro	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
ai-blond/Qwen-Qwen2.5-Coder-1.5B-Instruct-lora			0	0	transformers, safetensors, text-generation-inference, unsloth, qwen2, trl, en, license:apache-2.0, endpoints_compatible, region:us		transformers			https://huggingface.co/ai-blond/Qwen-Qwen2.5-Coder-1.5B-Instruct-lora	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
ai-blond/Qwen25-7B-lora-crime			0	0	transformers, safetensors, text-generation-inference, qwen2, ru, base_model:ai-bond/Qwen2.5-7B, base_model:finetune:ai-bond/Qwen2.5-7B, license:mit, endpoints_compatible, region:us		transformers			https://huggingface.co/ai-blond/Qwen25-7B-lora-crime	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
AIBluefihser/dogs_model			0	0	region:us					https://huggingface.co/AIBluefihser/dogs_model	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
RichardErkhov/ai-blond_-_Qwen2.5-7B-model-grandpro-gguf			0	0	region:us					https://huggingface.co/RichardErkhov/ai-blond_-_Qwen2.5-7B-model-grandpro-gguf	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
NaLLsuR/AIBlend_3D			0	0	license:mit, region:us					https://huggingface.co/NaLLsuR/AIBlend_3D	Australian Imaging Biomarkers and Lifestyle Study of Ageing	AIBL	"""AIBL"""
cpa2001/bioFinder-llama			15	0	pytorch, llama, license:apache-2.0, region:us					https://huggingface.co/cpa2001/bioFinder-llama	BioFIND Study	BioFIND	"""BioFIND"""
HPLT/hplt_bert_base_2_0_bhr-Latn			37	0	pytorch, BERT, HPLT, encoder, fill-mask, custom_code, bs, hr, bhr, dataset:HPLT/HPLT2.0_cleaned, arxiv:2503.10267, license:apache-2.0, region:us			fill-mask		https://huggingface.co/HPLT/hplt_bert_base_2_0_bhr-Latn	Brain Health Registry	BHR	"""BHR"""
imadejski/bhr_descriptions_trained_distillRoBERTa			29	0	transformers, tensorboard, safetensors, roberta, fill-mask, generated_from_trainer, base_model:distilbert/distilroberta-base, base_model:finetune:distilbert/distilroberta-base, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us		transformers	fill-mask		https://huggingface.co/imadejski/bhr_descriptions_trained_distillRoBERTa	Brain Health Registry	BHR	"""BHR"""
imadejski/bhr_descriptions_trained_BiomedBERT			13	0	transformers, tensorboard, safetensors, bert, fill-mask, generated_from_trainer, base_model:microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract, base_model:finetune:microsoft/BiomedNLP-BiomedBERT-base-uncased-abstract, license:mit, autotrain_compatible, endpoints_compatible, region:us		transformers	fill-mask		https://huggingface.co/imadejski/bhr_descriptions_trained_BiomedBERT	Brain Health Registry	BHR	"""BHR"""
bhrugu/Llama-3-8b-Instruct-Random-Mapped-Cyber			13	0	transformers, safetensors, llama, text-generation, arxiv:1910.09700, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us		transformers	text-generation		https://huggingface.co/bhrugu/Llama-3-8b-Instruct-Random-Mapped-Cyber	Brain Health Registry	BHR	"""BHR"""
Bhriganka/blue-sport-car-npx			12	1	diffusers, safetensors, NxtWave-GenAI-Webinar, text-to-image, stable-diffusion, license:creativeml-openrail-m, autotrain_compatible, endpoints_compatible, diffusers:StableDiffusionPipeline, region:us		diffusers	text-to-image		https://huggingface.co/Bhriganka/blue-sport-car-npx	Brain Health Registry	BHR	"""BHR"""
bhrugu/Llama-3-8b-Instruct-Random-Mapped-Bio			12	0	transformers, safetensors, llama, text-generation, arxiv:1910.09700, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us		transformers	text-generation		https://huggingface.co/bhrugu/Llama-3-8b-Instruct-Random-Mapped-Bio	Brain Health Registry	BHR	"""BHR"""
bhrthds20/Job_Description_Summary			4	0	safetensors, t5, license:apache-2.0, region:us					https://huggingface.co/bhrthds20/Job_Description_Summary	Brain Health Registry	BHR	"""BHR"""
gadkins/bhrrert-finetune			4	0	diffusers, flux, lora, replicate, text-to-image, en, base_model:black-forest-labs/FLUX.1-dev, base_model:adapter:black-forest-labs/FLUX.1-dev, license:other, region:us		diffusers	text-to-image		https://huggingface.co/gadkins/bhrrert-finetune	Brain Health Registry	BHR	"""BHR"""
imadejski/bhr_descriptions_trained_sciBERT			0	0	region:us					https://huggingface.co/imadejski/bhr_descriptions_trained_sciBERT	Brain Health Registry	BHR	"""BHR"""
rodesra/bhr			0	0	region:us					https://huggingface.co/rodesra/bhr	Brain Health Registry	BHR	"""BHR"""
vikaaaas/bhrami-lora			0	0	region:us					https://huggingface.co/vikaaaas/bhrami-lora	Brain Health Registry	BHR	"""BHR"""
Caole/bhr			0	0	region:us					https://huggingface.co/Caole/bhr	Brain Health Registry	BHR	"""BHR"""
BHrao9KLyG/NFNNurkyOA0zkH4			0	0	region:us					https://huggingface.co/BHrao9KLyG/NFNNurkyOA0zkH4	Brain Health Registry	BHR	"""BHR"""
bhrtpatel/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-hairy_roaring_ostrich			0	0	transformers, safetensors, generated_from_trainer, rl-swarm, grpo, gensyn, I am hairy roaring ostrich, unsloth, trl, arxiv:2402.03300, base_model:Gensyn/Qwen2.5-0.5B-Instruct, base_model:finetune:Gensyn/Qwen2.5-0.5B-Instruct, endpoints_compatible, region:us		transformers			https://huggingface.co/bhrtpatel/Qwen2.5-0.5B-Instruct-Gensyn-Swarm-hairy_roaring_ostrich	Brain Health Registry	BHR	"""BHR"""
uer/roberta-base-finetuned-dianping-chinese			8887	64	transformers, pytorch, tf, jax, bert, text-classification, zh, arxiv:1909.05658, arxiv:2212.06385, arxiv:1708.02657, autotrain_compatible, endpoints_compatible, region:us		transformers	text-classification		https://huggingface.co/uer/roberta-base-finetuned-dianping-chinese	Dominantly Inherited Alzheimer Network	DIAN	"""DIAN"""
liam168/c2-roberta-base-finetuned-dianping-chinese			1532	24	transformers, pytorch, bert, text-classification, zh, autotrain_compatible, endpoints_compatible, region:us		transformers	text-classification		https://huggingface.co/liam168/c2-roberta-base-finetuned-dianping-chinese	Dominantly Inherited Alzheimer Network	DIAN	"""DIAN"""
Diankun/Spatial-MLLM-subset-sft			973	0	transformers, safetensors, qwen2_5_vl, text2text-generation, video-text-to-text, arxiv:2505.23747, base_model:Qwen/Qwen2.5-VL-3B-Instruct, base_model:finetune:Qwen/Qwen2.5-VL-3B-Instruct, license:mit, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us		transformers	video-text-to-text		https://huggingface.co/Diankun/Spatial-MLLM-subset-sft	Dominantly Inherited Alzheimer Network	DIAN	"""DIAN"""
dianapps-vaibhav/distilbert-hiring-intent			802	0	transformers, safetensors, distilbert, text-classification, arxiv:1910.09700, autotrain_compatible, endpoints_compatible, region:us		transformers	text-classification		https://huggingface.co/dianapps-vaibhav/distilbert-hiring-intent	Dominantly Inherited Alzheimer Network	DIAN	"""DIAN"""
DianelAnariel/sledopyt_embedder_v5_100			199	0	tensorboard, safetensors, xlm-roberta, region:us					https://huggingface.co/DianelAnariel/sledopyt_embedder_v5_100	Dominantly Inherited Alzheimer Network	DIAN	"""DIAN"""
mradermacher/Opeai_Fusion_DianJin-R1-7B-i1-GGUF			144	1	transformers, gguf, mergekit, merge, en, base_model:IRUCAAI/Opeai_Fusion_DianJin-R1-7B, base_model:quantized:IRUCAAI/Opeai_Fusion_DianJin-R1-7B, license:mit, endpoints_compatible, region:us, imatrix, conversational		transformers			https://huggingface.co/mradermacher/Opeai_Fusion_DianJin-R1-7B-i1-GGUF	Dominantly Inherited Alzheimer Network	DIAN	"""DIAN"""
DianaIulia/code_search_codebert_base_4_random_trimmed_with_g_and_spaces			106	0	transformers, tensorboard, safetensors, roberta, token-classification, autotrain_compatible, endpoints_compatible, region:us		transformers	token-classification		https://huggingface.co/DianaIulia/code_search_codebert_base_4_random_trimmed_with_g_and_spaces	Dominantly Inherited Alzheimer Network	DIAN	"""DIAN"""
dianamihalache27/results5			95	0	transformers, safetensors, bert, text-classification, generated_from_trainer, base_model:jkhan447/sarcasm-detection-Bert-base-uncased-CR, base_model:finetune:jkhan447/sarcasm-detection-Bert-base-uncased-CR, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us		transformers	text-classification		https://huggingface.co/dianamihalache27/results5	Dominantly Inherited Alzheimer Network	DIAN	"""DIAN"""
mradermacher/DianJin-R1-7B-i1-GGUF			84	0	transformers, gguf, en, base_model:DianJin/DianJin-R1-7B, base_model:quantized:DianJin/DianJin-R1-7B, license:mit, endpoints_compatible, region:us, imatrix, conversational		transformers			https://huggingface.co/mradermacher/DianJin-R1-7B-i1-GGUF	Dominantly Inherited Alzheimer Network	DIAN	"""DIAN"""
mradermacher/DianJin-R1-32B-i1-GGUF			80	0	transformers, gguf, en, base_model:DianJin/DianJin-R1-32B, base_model:quantized:DianJin/DianJin-R1-32B, license:mit, endpoints_compatible, region:us, imatrix, conversational		transformers			https://huggingface.co/mradermacher/DianJin-R1-32B-i1-GGUF	Dominantly Inherited Alzheimer Network	DIAN	"""DIAN"""
DianaTurmakhan/XLMRobertaPersuasion			75	0	transformers, pytorch, xlm-roberta, text-classification, autotrain_compatible, endpoints_compatible, region:us		transformers	text-classification		https://huggingface.co/DianaTurmakhan/XLMRobertaPersuasion	Dominantly Inherited Alzheimer Network	DIAN	"""DIAN"""
dianaciocaianu/llama3-for-article-classification-by-type			75	0	transformers, pytorch, llama, text-generation, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us		transformers	text-generation		https://huggingface.co/dianaciocaianu/llama3-for-article-classification-by-type	Dominantly Inherited Alzheimer Network	DIAN	"""DIAN"""
dianamihalache27/bertuncased_3epoch2			71	0	transformers, tensorboard, safetensors, bert, text-classification, generated_from_trainer, base_model:google-bert/bert-base-uncased, base_model:finetune:google-bert/bert-base-uncased, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us		transformers	text-classification		https://huggingface.co/dianamihalache27/bertuncased_3epoch2	Dominantly Inherited Alzheimer Network	DIAN	"""DIAN"""
DianLiI/hf_genbio			68	0	transformers, safetensors, genbio, feature-extraction, custom_code, arxiv:1910.09700, region:us		transformers	feature-extraction		https://huggingface.co/DianLiI/hf_genbio	Dominantly Inherited Alzheimer Network	DIAN	"""DIAN"""
dianamihalache27/results_bertcased			65	0	transformers, safetensors, bert, text-classification, generated_from_trainer, base_model:google-bert/bert-base-cased, base_model:finetune:google-bert/bert-base-cased, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us		transformers	text-classification		https://huggingface.co/dianamihalache27/results_bertcased	Dominantly Inherited Alzheimer Network	DIAN	"""DIAN"""
diana-salgado/Detector-Sexismo-Espanol			61	0	transformers, safetensors, bert, text-classification, arxiv:1910.09700, autotrain_compatible, endpoints_compatible, region:us		transformers	text-classification		https://huggingface.co/diana-salgado/Detector-Sexismo-Espanol	Dominantly Inherited Alzheimer Network	DIAN	"""DIAN"""
mradermacher/DianJin-R1-32B-GGUF			60	0	transformers, gguf, en, base_model:DianJin/DianJin-R1-32B, base_model:quantized:DianJin/DianJin-R1-32B, license:mit, endpoints_compatible, region:us, conversational		transformers			https://huggingface.co/mradermacher/DianJin-R1-32B-GGUF	Dominantly Inherited Alzheimer Network	DIAN	"""DIAN"""
dianamihalache27/deberta-v3-base_3epoch7			58	0	transformers, tensorboard, safetensors, deberta-v2, text-classification, generated_from_trainer, base_model:microsoft/deberta-v3-base, base_model:finetune:microsoft/deberta-v3-base, license:mit, autotrain_compatible, endpoints_compatible, region:us		transformers	text-classification		https://huggingface.co/dianamihalache27/deberta-v3-base_3epoch7	Dominantly Inherited Alzheimer Network	DIAN	"""DIAN"""
dianamihalache27/Twroberta-baseB_3epoch			58	0	transformers, tensorboard, safetensors, roberta, text-classification, generated_from_trainer, base_model:cardiffnlp/twitter-roberta-base-irony, base_model:finetune:cardiffnlp/twitter-roberta-base-irony, autotrain_compatible, endpoints_compatible, region:us		transformers	text-classification		https://huggingface.co/dianamihalache27/Twroberta-baseB_3epoch	Dominantly Inherited Alzheimer Network	DIAN	"""DIAN"""
