Study Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages	Biomedical Relevance	Code Summary	Data Types	Tooling
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Aman0525/Drowsiness-Detection	Aman0525	Aman0525	Python	YES - The repository focuses on drowsiness detection which has direct medical and neurological implications, specifically monitoring human cognitive state and alertness levels for safety applications.	"This repository implements a drowsiness detection system designed to prevent accidents caused by fatigued driving. The system uses computer vision to monitor a driver's eye movements and blink patterns in real-time to detect signs of drowsiness. When drowsiness is detected, the system triggers an audio alarm to alert the driver. The implementation includes a frontend interface that allows users to initiate the detection system through a ""Detect Eye Blink & Record With Sound"" option. The project addresses a significant public health and safety issue, as the repository notes that 21% of fatal accidents are caused by drowsy driving, with substantial annual casualties and economic impact."	- Video input data from driver-facing camera - Real-time eye movement/blink detection data - Audio output (alarm signals) - Frontend interface data The specific file formats and detailed data specifications are not explicitly mentioned in the repository information provided.	"- Python (indicated by .py files) - Visual Studio Code (VS Code) as development environment - Computer vision components (specific libraries not mentioned) - Audio processing capabilities (specific libraries not mentioned) - Frontend interface implementation (specifics not mentioned) - File named ""Driver Cam.py"" as the main driver program Note: While the repository indicates the use of these tools, the specific libraries, frameworks, and dependencies are not detailed in the provided information."
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/MananKhare/Blind-Stick-Navigator	MananKhare	MananKhare		YES - This repository describes an assistive medical device designed to help visually impaired individuals navigate their environment safely. It falls under assistive healthcare technology and disability support devices.	This repository contains a project for a smart navigation stick for blind people. The device integrates multiple sensors and features to assist visually impaired individuals in independent mobility. Key functionalities include obstacle detection (both upstanding objects and potholes), water puddle detection, ambient light sensing, GPS location tracking with SMS capabilities, and a remote locator feature. The system uses various sensors to provide audio and haptic feedback to users, helping them navigate safely before actually encountering obstacles. The device also includes safety features like sending GPS coordinates to family members and the ability to locate the stick remotely if misplaced.	- Sensor data from ultrasonic sensors (obstacle detection) - GPS coordinate data - Light level data from LDR (Light Dependent Resistor) - Water detection data from raindrop sensor - RF (Radio Frequency) signals for stick location Note: Specific data formats are not specified in the repository information.	Not specified - While the repository describes various hardware components (ultrasonic sensors, RF module, raindrop sensor, LDR, GPS module, buzzer), the specific software tools, programming languages, or frameworks used for implementation are not mentioned in the provided repository information.
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Franchglobal2/6-Ways-To-Be-Fit-And-Strengthen-Your-Immune-System-	Franchglobal2	Franchglobal2		YES - This repository contains health-related content focusing on immune system function, sleep patterns, and the biological effects of omega-3 fatty acids, with references to medical concepts like cytokines, T cells, and cortisol.	This repository does not contain actual code but rather serves as an educational article about immune system health. It appears to be a markdown document that outlines six ways to improve fitness and immune system function, including sleep hygiene, dietary recommendations, and stress management. The content appears to be promotional material for health supplements, specifically OG-3 Veg Softgels, while incorporating some scientific references (PubMed.gov and NCBI).	The repository contains only a markdown (.md) file with text content. No specific data files, datasets, or structured data formats are included. The content references scientific literature from PubMed.gov and NCBI but does not directly include or process this data.	Not specified - The repository appears to be a simple markdown document without any specific tools, packages, or frameworks being utilized.
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Franchglobal2/6-Ways-To-Be-Fit-And-Strengthen-Your-Immune-System	Franchglobal2	Franchglobal2		YES - This repository contains health-related content focusing on immune system function, sleep patterns, and nutritional recommendations, including references to medical concepts like cytokines, T cells, and clinical research citations from PubMed.gov and NCBI.	This repository does not contain actual code - it is a markdown document that serves as an educational article about immune system health. The content provides health guidelines and recommendations for strengthening the immune system through lifestyle modifications, including sleep, diet, and stress management. While hosted on GitHub, this is not a software project but rather a documentation/article repository focusing on health education and wellness recommendations.	No structured data files are present in this repository. The only content is a markdown (.md) file containing text-based health information. References are made to external research data from PubMed.gov and NCBI, but these datasets are not directly included in the repository.	Not specified - The repository contains only markdown content and does not implement or reference any specific tools, packages, or frameworks.
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/martindessart/Brain_Like_A_Sieve	martindessart	martindessart	HTML	YES - This repository contains research on memory formation and neural processing in mosquito larvae (Aedes aegypti), which is relevant to neuroscience and behavioral biology. The study investigates fundamental mechanisms of learning and memory in organisms.	This repository contains code and data for analyzing mosquito larvae behavioral responses to visual stimuli, specifically studying memory formation and habituation. The codebase implements an automated tracking system to quantify how larvae respond to shadow passages that simulate predator approaches. The analysis pipeline consists of multiple stages: raw data processing, verification with filters and thresholds, behavioral response classification, and statistical analysis of learning performance. The code processes experimental data from multiple trials (11 trials per experiment with 10 individuals) and analyzes retention times ranging from 4 minutes to 24 hours to understand short-term versus long-term memory formation.	- CSV files containing behavioral tracking data - Raw tracking data from video analysis software - Verified data (processed with detection thresholds and filters) - Classified behavioral response data (3-second intervals x 11 trials) - Grouped experimental data by treatment - Time series data of larvae movements and responses - Video-derived behavioral measurements (though raw videos not included in repository)	- R version 4.1.1 - Python 3.7.11 - Spyder IDE 5.1.5 - Data processing tools: moving average filters, low-pass filters - Statistical analysis packages (specific packages not specified) - Automated tracking system (specific implementation not detailed) - Data visualization tools (specific tools not mentioned)
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/bishtshweta/CNN-and-Python--Based-detection-of-Brain-Strokes-using-MRI-Brain-images-that-leads-to-Epilepsy	bishtshweta	bishtshweta	Jupyter Notebook	YES - This repository is directly focused on medical applications, specifically the detection of brain strokes using MRI imaging, with implications for epilepsy diagnosis. The project has clear clinical relevance and potential healthcare applications.	This repository implements a Convolutional Neural Network (CNN)-based system for automated detection of brain strokes using MRI images. The code performs image classification to distinguish between normal and stroke-affected brain scans, achieving 90.55% test accuracy. The implementation includes data preprocessing, augmentation techniques, and transfer learning using the VGG16 architecture. The system aims to provide faster, more accurate, and cost-effective stroke diagnosis compared to traditional methods. The project incorporates multiple machine learning approaches, including Random Forest and SVM, but primarily focuses on CNN-based deep learning for feature extraction and classification.	- MRI brain images from med.harvard.edu - Dataset size: 250 images total - 100 normal brain MRI images - 150 stroke-affected brain MRI images - Augmented image data using rotation, flipping, and brightness adjustments - Format types not explicitly specified - Medical imaging data (MRI scans)	- Deep Learning Frameworks: - Convolutional Neural Networks (CNN) - Transfer Learning Models: VGG16, VGG19, ResNet - DenseNet-169 - Machine Learning Algorithms: - Support Vector Machine (SVM) - Random Forest - Multilayer Perceptron (MLP) - Feature Extraction: - Histogram of Oriented Gradients (HoG) - Data Augmentation tools (specific packages not specified) - Python (programming language)
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Gopher2016/Border-Detection-and-Image-Analysis-of-Implanted-Deep-Brain-Stimulation-Leads-in-Close-Proximity	Gopher2016	Gopher2016	MATLAB	YES - This repository is clearly focused on medical imaging analysis, specifically for Deep Brain Stimulation (DBS) leads, which is a neurosurgical treatment. The border detection and image analysis of implanted DBS leads is directly related to neurosurgical applications and medical imaging.	Not specified - The repository title indicates it contains code for border detection and image analysis of Deep Brain Stimulation leads when they are in close proximity to each other, but no actual code or detailed description is visible in the repository. The repository appears to be a placeholder with only a contact email for requesting image data files.	DICOM (.dcm) files are mentioned as the image data format. DICOM is a standard format for medical imaging that typically contains both image data and associated metadata. The repository specifically mentions these files are available upon email request but does not provide them directly in the repository.	Not specified - No specific tools, packages, frameworks, or technologies are listed in the available repository information.
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/Technix-Technothon2k22/Binary-brains	Technix-Technothon2k22	SiddheshDabholkar; Alroyfernz; Technix-Technothon2k22; zeus11011	TypeScript	NO - This repository appears to focus on environmental solutions for paper waste management and digital transformation in offices and institutions. It does not contain biomedical research or healthcare-related content.	This repository appears to be a project prompt or challenge description rather than an actual codebase. It presents a problem statement about excessive paper usage in offices, schools, and institutions, asking for solutions to create an eco-friendly environment through digital alternatives like e-signatures and document management systems. The repository does not contain actual implementation code but rather serves as a project description or hackathon challenge.	Not specified - The repository description only mentions conceptual elements (paper documents, e-signatures) but does not specify any particular data types or formats.	Not specified - No specific tools, frameworks, or technologies are mentioned in the repository content. Only conceptual solutions like e-signatures and document management systems are suggested as hints.
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/tonylincon1/Automacao-de-pesquisa-e-coleta-de-leads-no-linkedin	tonylincon1	tonylincon1	Python	NO - This repository appears to be a LinkedIn automation tool for lead generation and is not related to biomedical research or healthcare applications. It was developed as a training project for Brain Engenharia company.	This repository contains automation code developed as a training demonstration for Brain Engenharia company. The project focuses on automating LinkedIn searches and lead collection using Python. The main purpose is to demonstrate programming concepts and automation capabilities using tools like Selenium and PyAutoGUI. The automation appears to be designed for business lead generation and recruitment purposes rather than scientific or medical applications.	- LinkedIn profile data - Training documentation (JPEG image) Specific data formats and structures are not fully detailed in the available repository information.	- Python (primary programming language) - Selenium (web automation framework) - PyAutoGUI (Python automation library for GUI interaction) - GitHub (version control and repository hosting) The repository appears to be focused on automation tools rather than scientific or analytical frameworks.
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/JonJon50/Brain-Storm	JonJon50	JonJon50	JavaScript	"NO - This repository is for a general note-taking application and does not contain any specific biomedical, healthcare, or neuroscience functionality. Despite its name ""Brain Storm,"" it is a standard productivity tool for taking and organizing notes."	"This repository contains a web-based note-taking application called ""Brain Storm."" It's a simple productivity tool that allows users to create, save, and delete notes through a web interface. The application is built as a full-stack solution that uses Express.js for the backend and a combination of HTML, CSS, and JavaScript for the frontend. The app stores notes in JSON format and is deployed on Heroku. Its main features include the ability to create new notes, save them persistently, view existing notes, and delete notes when they're no longer needed. The application is designed to help users organize their daily tasks and information, with a particular focus on helping students manage their academic workload."	- JSON data for note storage - Text-based note entries - Static assets (images, GIFs for documentation) No specific data schemas or structures are detailed in the repository, but the application handles basic text-based note data with presumed title and content fields.	1. Frontend Technologies: - HTML - CSS - JavaScript - jQuery - Bootstrap 2. Backend Technologies: - Node.js - Express.js 3. Deployment & Infrastructure: - Heroku for hosting - Node Package Manager (NPM) 4. Version Control: - Git/GitHub The repository also indicates implementation of API endpoints and authentication features, though specific packages for these features are not detailed in the documentation.
Longitudinal Early-onset Alzheimer's Disease Study	LEADS	Early-onset Alzheimer's Disease; Young-onset Dementia	https://github.com/ArmanAbroumand/supplementary-of-SCI	ArmanAbroumand	ArmanAbroumand		YES - This repository is directly related to biomedical research, specifically focusing on spinal cord injury (SCI) and its effects on cognitive function and hippocampal activity. The research context is clearly neuroscience and medical in nature.	Based on the available repository information, this appears to be a supplementary materials repository for research on spinal cord injury and its cognitive effects, particularly focusing on memory dysfunction and hippocampal impacts. However, the specific code functionality and features are not described in the provided repository information. The repository appears to be intended to support research findings about SCI's secondary effects on brain function, but actual code implementation details are not visible in the given content.	Not specified - The repository description does not explicitly mention any specific data types, file formats, or data sources being used or stored.	Not specified - The repository information does not mention any specific tools, packages, frameworks, or technologies being utilized.
LRRK2 Cohort Consortium	LCC	LRRK2 Parkinson's Disease; LRRK2 carriers without PD; Idiopathic Parkinson's Disease; Normal Controls	https://github.com/DappStarter/brainy-lonimip-bLcc	DappStarter		JavaScript	"NO - This appears to be a general blockchain development template/starter project called ""My Dapp"" with no specific biomedical focus or healthcare applications mentioned."	"This repository contains a blockchain application starter template called ""My Dapp"" that includes components for smart contract development, a web-based decentralized application (dapp), and a NodeJS server. It's a development framework that provides the basic structure and tools needed to build blockchain applications. The project uses Yarn Workspaces for package management and includes contracts, testing capabilities, and a user interface. The repository appears to be a boilerplate or template rather than a fully implemented application, providing developers with the foundational structure to build their own blockchain applications."	The repository does not explicitly specify data types or formats. The main components appear to be: - Smart Contract code files - JavaScript source files - Test files - UI/Frontend files However, specific data formats, schemas, or structures are not detailed in the provided information.	- Visual Studio Code (or other JavaScript IDE) - NodeJS for server-side functionality - Yarn package manager with Workspace support - Flow CLI for Cadence code highlighting - Node-gyp build tools - Web server (running on localhost:5000) - Blockchain development tools (specific blockchain platform not specified, but mentions Solana compatibility issues) - DappStarter framework - Discord for community support The repository also includes development scripts, testing frameworks, and blockchain interaction libraries, though specific versions and additional dependencies are not detailed.
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/himanshub1007/Alzhimers-Disease-Prediction-Using-Deep-learning	himanshub1007	himanshub1007	Python	YES - This repository is directly focused on medical research, specifically using deep learning for Alzheimer's Disease prediction through brain MRI analysis. It has clear applications in neuroscience and clinical diagnostics.	This repository implements a deep learning system for predicting Alzheimer's Disease using brain MRI images. The project employs multiple approaches: a 2D AlexNet with transfer learning (achieving 86% accuracy) and a 3D CNN with autoencoder (achieving 77% accuracy). The system processes brain MRI scans through various preprocessing steps including skull-stripping and normalization. The implementation combines transfer learning techniques using pretrained AlexNet architecture and a custom 3D autoencoder approach. The primary goal is to develop an efficient classifier that can work with limited medical imaging data to detect structural brain changes associated with Alzheimer's Disease.	- Brain MRI scans from ADNI (Alzheimer's Disease Neuroimaging Initiative) - Total dataset: 686 MRI scans (310 AD cases, 376 normal controls) - Preprocessed 3D image files (121x145x121 dimensions) - Segmented data including grey matter and whole brain imagery - Data split into training (n=519), validation (n=100), and testing (n=67) sets - Standardized brain images after skull-stripping and normalization - Both grey matter only and whole brain (grey + white matter) images	1. PyTorch - Neural network implementation 2. Nibabel - MRI image processing 3. Statistical Parametric Mapping (SPM) software, version 12 - Image preprocessing 4. AlexNet architecture for transfer learning 5. Custom 3D autoencoder implementation 6. Convolutional Neural Networks (CNN) 7. Software for implementing various transfer learning approaches
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/shahidzikria/ADD-Net	shahidzikria	shahidzikria	Jupyter Notebook	YES - This repository is directly focused on medical applications, specifically the detection and classification of Alzheimer's Disease using brain MRI scans through deep learning approaches. It has clear clinical and diagnostic relevance in neurology and medical imaging.	This repository presents ADD-Net (Alzheimer's Disease Detection Network), a custom-designed Convolutional Neural Network (CNN) architecture for automated detection of Alzheimer's Disease from MRI scans. The model is specifically optimized for smaller datasets and features fewer parameters compared to standard architectures. The implementation focuses on early-stage AD detection and includes visualization capabilities through class activation maps. The model addresses class imbalance issues through synthetic oversampling and has been benchmarked against established architectures like DenseNet169, VGG19, and InceptionResNet V2. The model achieved impressive performance metrics, including 98.63% accuracy and 99.76% AUC, demonstrating superior performance compared to existing solutions.	- Primary data type: Brain MRI images - Dataset source: Kaggle MRI image dataset - Data characteristics: Mentioned class imbalance issues - Synthetic data: Generated through oversampling techniques - Output data: Heat maps (class activation maps) showing brain regions Specific image formats are not specified in the repository description.	- Deep Learning frameworks (specific framework not mentioned) - Convolutional Neural Networks (CNN) - Comparison models: - DenseNet169 - VGG19 - InceptionResNet V2 - Evaluation metrics implementation tools for: - Precision - Recall - F1-score - Area Under the Curve (AUC) - Loss calculation Specific implementation frameworks and libraries are not explicitly mentioned in the repository description.
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/Ajax121/Comparison-of-Convolutional-neural-network-training-parameters-for-detecting-Alzheimer-s-disease-and	Ajax121	Ajax121	Jupyter Notebook	YES - This repository is directly focused on medical research, specifically using neural networks to detect Alzheimer's disease from brain MRI scans. It has clear applications in neuroscience and medical diagnosis.	This repository implements a Convolutional Neural Network (CNN) system for detecting Alzheimer's disease from brain MRI scans. The project has two main components: 1) evaluating how different CNN hyperparameters affect model accuracy in disease detection, and 2) comparing various visualization methods to understand which areas of brain MRI scans the model uses for classification. The system includes a Bokeh-based visualization server that allows users to select specific subjects and coronal slices to view the relevant areas the model considers for classification. Notably, the system successfully highlights the hippocampus region, which aligns with medical literature indicating this area's importance in Alzheimer's disease progression.	- Brain MRI scans (imaging data) - Coronal slice views of brain scans - Neural network visualization maps - Classification data for Alzheimer's disease detection Specific file formats are not explicitly mentioned in the repository information.	- Convolutional Neural Networks (CNN) - iNNvestigate toolbox (for deep learning visualizations) - Bokeh (for interactive visualization server) - Python (implied by the use of these tools) - Local server implementation for visualization The repository likely includes additional tools and frameworks, but they are not explicitly mentioned in the provided information.
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/martindyrba/VisualAiD	martindyrba	devesh1611singh; martindyrba	Python	YES - This repository is directly focused on medical research, specifically the detection of Alzheimer's disease using neural networks and brain imaging. It implements deep learning approaches for analyzing medical imaging data to assist in neurological disease diagnosis.	This repository implements and compares different 3D Convolutional Neural Network (CNN) architectures for detecting Alzheimer's Disease from brain imaging data. The project focuses on evaluating various CNN models (AlexNet, VGG, ResNet, and DenseNet) to determine which architecture is most effective for AD classification using MRI data. A key feature is the implementation of layer-wise relevance propagation (LRP) to create interpretable heatmaps showing which brain regions most influenced the model's decisions. The DenseNet architecture is highlighted as particularly effective, demonstrating strong performance in identifying clinically relevant features like the hippocampal region. The codebase includes implementations of these architectures and visualization tools for generating relevance maps from the neural network outputs.	- MRI brain imaging data - 3D neuroimaging data in MNI reference space - Data from ADNI3 dataset (Alzheimer's Disease Neuroimaging Initiative) - Relevance maps/heatmaps showing brain region importance - Coronal slice images at specific coordinates (Y=-10,-20,-30 mm)	- Python 3.7 - TensorFlow v1.15 - Keras v2.2.4 - iNNvestigate v1.0.9 - Deep Learning frameworks: - AlexNet architecture - VGG architecture - ResNet architecture - DenseNet architecture - Layer-wise Relevance Propagation (LRP) methods - Visualization tools for generating relevance maps
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/jamesmroe/AgeSym	jamesmroe	jamesmroe	R	YES - This repository contains code for analyzing cerebral cortex thinning patterns in Alzheimer's Disease and aging, which is directly related to neuroscience and medical research. The work specifically focuses on brain structure analysis across the adult lifespan.	This repository contains preprocessing and analysis scripts associated with research on asymmetric cerebral cortex thinning. The code supports analysis of how brain aging patterns differ in Alzheimer's Disease compared to normal aging. The repository includes two main analytical components: 1) Vertex-wise GAMM (Generalized Additive Mixed Models) analysis for processing brain imaging data, and 2) Clustering analysis across multiple cohorts using the LH_Sym framework. The codebase appears to be designed to analyze brain symmetry patterns and includes tools for comparing results across different study cohorts. The repository also contains functionality for quantifying overlap between different analyses through a MATLAB script.	- Brain imaging data (implied by FreeSurfer directory references) - Surface registration files (.sphere.reg format) - LH_Sym reference data - Vertex-wise brain measurement data (implied by GAMM analysis) - FreeSurfer surface files ($SUBJECTS_DIR structure referenced)	- R programming language (indicated by .r file extension) - MATLAB (indicated by .m file extension) - FreeSurfer (neuroimaging analysis suite, referenced via $FREESURFER_HOME) - GAMM (Generalized Additive Mixed Models) statistical framework - LH_Sym (brain symmetry analysis tool) - Version control: Git/GitHub
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/chandrasekarnarayana/Hotspot_detection_in_Yeast_Cell_Model-Image_Processing	chandrasekarnarayana	chandrasekarnarayana	Jupyter Notebook	YES - The repository directly addresses neurodegenerative disease research using yeast cell models to study conditions like Alzheimer's, Parkinson's, and Huntington's disease. It focuses on analyzing protein aggregation patterns relevant to disease mechanisms.	"This repository contains code for processing and analyzing fluorescence microscopy images of yeast cells to detect protein aggregation ""hotspots."" The software uses image processing techniques to accomplish two main tasks: (1) detecting cell walls to identify individual cells, and (2) locating protein aggregation hotspots within those cells. This computational approach supports neurodegenerative disease research by automating the detection and analysis of protein misfolding patterns, which are key indicators in diseases like Alzheimer's and Parkinson's. The work appears to be part of a published research project, with results presented in a 2021 conference paper."	- Fluorescence microscopy images of yeast cells - Optical microscopy data - Electron microscopy data - Image data showing protein aggregations in cells (Specific file formats are not specified in the repository description)	- OpenCV library for image processing - Python (implied by OpenCV usage) (Additional specific tools and frameworks are not detailed in the repository description)
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/nrohani/CAD-system-for-Alzheimer-detection-	nrohani	nrohani	MATLAB	YES - This repository is directly related to medical applications and neuroscience as it focuses on developing a Computer-Aided Detection (CAD) system for Alzheimer's disease detection using machine learning approaches.	The repository appears to contain code for a Computer-Aided Detection (CAD) system specifically designed to detect Alzheimer's disease using machine learning techniques and saliency maps. Saliency maps are typically used to highlight regions in medical images that are most relevant for the model's decision-making process. The system likely processes medical imaging data (such as brain scans) to assist in the diagnosis of Alzheimer's disease. However, without access to the full repository contents, the specific implementation details and exact functionalities cannot be determined.	Not specified - While the repository likely deals with medical imaging data (such as MRI or CT scans) given its purpose, the specific data types, formats, and sources are not explicitly mentioned in the available repository information.	Not specified - While the repository mentions machine learning methods and saliency maps as techniques, the specific tools, frameworks, and technologies used for implementation are not detailed in the available repository information.
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/sumanrawat1026/Deep-Learning-for-Brain-Mapping	sumanrawat1026	dhanurmotwani; sumanrawat1026		YES - This repository is directly focused on neuroscience and medical applications, specifically brain mapping and Alzheimer's disease detection using deep learning techniques.	This repository contains Python notebooks implementing deep learning approaches for brain mapping and Alzheimer's disease classification. The project focuses on analyzing brain imaging data using neural networks to understand brain structure and potentially detect neurodegenerative disorders like Alzheimer's. The code appears to be designed for processing and analyzing brain images across four different classes (based on the Kaggle dataset reference), likely corresponding to different stages or conditions of Alzheimer's disease. The implementation emphasizes the spatial mapping of brain structures and their analysis using modern machine learning techniques.	- Image data from Kaggle dataset (Alzheimer's dataset with 4 classes of images) - Brain mapping spatial representations - Medical imaging data (specific format not specified) - Dataset source: https://www.kaggle.com/tourist55/alzheimers-dataset-4-class-of-images	1. Python-based frameworks and libraries: - Pandas (data manipulation) - NumPy (numerical computing) - Keras (deep learning) - scikit-learn (machine learning) - scikit-image (image processing) - PIL (Python Imaging Library) - imblearn (imbalanced learning) 2. Development environment: - Jupyter Notebook - Anaconda 3. Package management: - pip (Python package installer)
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/shivamarora111/Alzheimer-detection-app	shivamarora111	shivamarora111	Java	YES - This application is related to healthcare, specifically focused on fall detection for individuals with Alzheimer's disease, which is a critical safety feature for patients requiring medical monitoring.	This is an Android-based fall detection application designed for monitoring Alzheimer's patients. The app runs in the background to detect falls and implements an automated emergency response system. When a fall is detected, it triggers two key actions: 1) sends an email containing the user's current location details to registered contacts, and 2) sends a separate email with a list of nearby hospitals. Additionally, the app includes a feature to display nearby hospitals on Google Maps, allowing affected users to quickly locate medical facilities in an emergency situation. This functionality is particularly valuable for caregivers and healthcare providers monitoring Alzheimer's patients who are at risk of falls.	- Location data (GPS coordinates) - Hospital location data (presumably from Google Maps API) - User contact information (email addresses) - Motion/accelerometer data (implied for fall detection) - Geographic mapping data (for hospital visualization)	- Android development platform - Google Maps API - Email service integration - Background service implementation for fall detection - Location services - Motion/accelerometer sensors Note: Specific versions, libraries, and detailed technical implementations are not explicitly mentioned in the repository description.
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/SKVirk27/Alzheimer-s-at-the-Cellular-Level-Integrative-Mapping-from-GWAS-SNPs-to-Gene-Expression	SKVirk27	SKVirk27	Jupyter Notebook	YES - This repository is directly focused on Alzheimer's disease research, combining genomics (GWAS) and single-cell RNA sequencing to understand genetic factors in brain cell types. This is clearly within the domains of neuroscience and biomedical research.	This repository contains a comprehensive analytical pipeline for investigating Alzheimer's disease at the cellular level. The code integrates two major data types: Genome-Wide Association Studies (GWAS) and single-cell RNA sequencing data. The pipeline includes scripts for data quality control, genetic variant mapping, differential expression analysis, and data integration. Key functionalities include SNP-to-gene mapping, cell-type-specific expression analysis, linkage disequilibrium pruning, and visualization of results through UMAP clustering and heatmaps. The code specifically focuses on analyzing expression changes in different brain cell types (astrocytes, microglia, oligodendrocytes) and their relationship to AD-associated genes like APOE and SORL1.	1. GWAS data (genetic variants/SNPs) 2. Single-cell RNA sequencing (scRNA-seq) data 3. Gene expression data 4. Cell-type specific marker data 5. File formats include: - CSV files (various *_genes_rsids.csv files) - R scripts (.R) - Jupyter notebooks (.ipynb) - PDF reports and visualizations - MAGMA analysis output files	1. Programming Languages: - R - Python (Jupyter Notebook) 2. Bioinformatics Tools: - MAGMA (genetic analysis) - Seurat (single-cell analysis) - DoubletFinder - SingleR - LDlinkR (linkage disequilibrium analysis) 3. Visualization Tools: - UMAP - Heatmap generation tools 4. Version Control: - Git/GitHub
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/leeeang/WearAreYou	leeeang	leeeang	C++	NO - While this is a wearable GPS tracking device, it appears to be a general-purpose location tracking bracelet without specific medical or healthcare applications mentioned. It's a student engineering project focused on GPS/GSM communication.	This repository contains code for a wearable GPS tracking bracelet developed as a senior design project at Georgia Tech. The system combines hardware components including a GSM module (SIM800), GPS module (ublox LEA-6S), Teensy microcontroller, and an E-Ink display to create a location-tracking wearable device. The project implements location tracking functionality through GPS and cellular communication, with data being transmitted via MQTT protocol to Adafruit IO's platform. The system appears to integrate with Google Maps API for location visualization, though this code is not included in the repository. The primary purpose is to track and display the wearer's location through a wearable form factor.	- GPS coordinate data from ublox LEA-6S module - GSM cellular communication data via SIM800 module - MQTT messaging data through Adafruit IO platform - Location visualization data (via Google Maps API, not included) - Display data for E-Ink screen	- Hardware: - Teensy 3.2 (Cortex-M4) microcontroller - GSM Click 3 (SIM800) module - GPS Click (ublox LEA-6S) module - PervasiveDisplay E-Ink Display - Software: - Adafruit IO MQTT platform - Google Maps API (external) - Python (external) - MQTT protocol for data communication
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/naomihabiblab/HumanDLPFC24	naomihabiblab	naomihabiblab	R	YES - This repository is directly related to neuroscience and Alzheimer's disease research, specifically analyzing cellular composition in the dorsolateral prefrontal cortex (DLPFC) brain region using single-nucleus RNA sequencing data.	This repository provides tools for analyzing cellular composition and communities in brain tissue samples. The main functionality includes two key components: 1) A mediation analysis pipeline linking cell populations to disease progression in Alzheimer's, and 2) Tools for analyzing and visualizing cellular communities and their frequencies. The code enables researchers to plot cell type proportions across individuals, analyze correlations between different cell populations, and construct network visualizations of cellular communities. It integrates with the CelMod algorithm (hosted separately) for estimating cellular compositions from bulk RNA profiles. The repository specifically supports analysis of data from 24 individuals' single-nucleus RNA-seq data and bulk RNA profiles from 640 individuals, focusing on understanding cellular architecture in the context of Alzheimer's disease.	- Single-nucleus RNA sequencing data from 24 individuals - Bulk RNA profiles from 640 individuals - Cell composition data generated by CelMod algorithm - Metadata including individual/sample information - Cell type and subcluster annotations - Correlation matrices for cell populations - Network structure data for cellular communities - Input data formatted as dataframes with cell names, grouping variables, and identity information	- R programming language - Seurat package (implied by reference to Seurat objects) - igraph package for network analysis and visualization - CelMod algorithm (external tool) - Custom R functions for: - Frequency plotting and correlation analysis - Network visualization - Community detection algorithms - Mediation analysis - Data visualization tools for generating correlation plots and networks
