Study Name	Abbreviation	Data Modalities	Diseases Included	Sample Size	Access URL	FAIR Compliance Notes	Dataset Type
Critical Path for AD Database	CPAD	[clinical] Aggregated clinical trial data; Control arm data; Placebo response data; Standardized assessments	Alzheimer's Disease; Mild Cognitive Impairment	12,811 participants	https://c-path.org/programs/cpad/	Strong FAIR compliance with pooled clinical trial control data	Human
Dementia Research Group 10/66 Study	DRG-10/66	[clinical, longitudinal] Population-based assessments; Dementia prevalence; Incidence data; Global health	Dementia; Cognitive Impairment; Normal Aging	29,000+ participants across prevalence and incidence cohorts	https://www.alz.co.uk/1066/	Excellent FAIR compliance with low/middle-income country dementia data	Human
Scottish Medical Imaging Research Dataset	SMI	[clinical, imaging] Medical imaging repository; MRI; PET; CT; Linked health records	Multiple conditions including neurodegenerative diseases	999,999 participants	https://www.isdscotland.org/	Strong FAIR compliance with national imaging repository	Human
The Airwave Health Monitoring Study	Airwave	[clinical, longitudinal, genetics] Occupational cohort; Genomics; Clinical assessments; Quality of life; Environmental exposures	Multiple health conditions; Aging; Cognitive function	55,000 participants	https://www.police-health.org.uk/	Excellent FAIR compliance with police force occupational health study	Human
The Caerphilly Prospective Study	CaPS	[clinical, longitudinal] Population cohort; Cardiovascular risk; Cognitive function; Quality of life	Cardiovascular Disease; Dementia; Aging	2,959 participants	https://www.bristol.ac.uk/population-health-sciences/projects/caerphilly/	Good FAIR compliance with long-term Welsh population study	Human
KBASE Reference iPSC Line	KBASE-iPSC	[transcriptomics, genetics] Reference iPSC line; WGS; RNA-seq; Quality control data; Collaborative resource	Reference cell line for neurodegenerative disease modeling	8 donor lines	https://www.alzheimersdata.org/	Strong FAIR compliance with standardized reference cell line resource	Biosample
Blood-based microRNA Biomarkers GSE46579	GSE46579	[transcriptomics] Blood microRNA profiling; Biomarker discovery; Expression data	Alzheimer's Disease; Normal Controls	70 participants	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE46579	Good FAIR compliance with GEO data sharing standards	Biosample
Autoantibody Biomarkers GSE74763	GSE74763	[proteomics] Blood-based autoantibodies; Proteomics profiling; Disease progression markers	Alzheimer's Disease; Mild Cognitive Impairment	100 participants	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74763	Good FAIR compliance with proteomics biomarker data	Biosample
CSF Proteomic Subtypes in AD	CSF-Subtypes	[proteomics] CSF proteomics; Disease subtypes; Molecular profiling	Alzheimer's Disease subtypes	606 participants	https://www.alzheimersdata.org/	Strong FAIR compliance with molecular subtyping data	Biosample
MexCog 10/66 Harmonized Dataset	MexCog	[clinical, longitudinal] Cognitive assessments; Mexican population; Harmonized data; Epidemiology	Dementia; Cognitive Impairment; Normal Aging	16,115 participants	https://www.alzheimersdata.org/	Good FAIR compliance with harmonized Latin American cohort data	Human
Moorfields Eye Hospital Dementia Dataset	MEHD	[clinical, imaging] Retinal imaging; Electronic health records; Dementia screening; Ophthalmology data	Dementia; Eye diseases; Aging	232,000 participants	https://www.moorfields.nhs.uk/	Strong FAIR compliance with large-scale retinal imaging and dementia linkage	Human
RNA-seq of Alzheimer's Patients GSE53697	GSE53697	[transcriptomics] Brain tissue RNA-seq; Gene expression; Molecular pathways	Alzheimer's Disease; Normal Controls	17 participants	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE53697	Good FAIR compliance with brain transcriptomics data	Biosample
Single-cell RNA-seq Early-onset AD	scRNA-EOAD	[transcriptomics] Single-cell transcriptomics; Brain tissue; Cell type profiling	Early-onset Alzheimer's Disease; Controls	16 participants	https://www.alzheimersdata.org/	Strong FAIR compliance with single-cell resolution data	Biosample
TDP-43 ALS/FTD Multi-omics	TDP43-Omics	[transcriptomics, genetics, proteomics] WGS; RNA-seq; Proteomics; Mis-splicing analysis	ALS; Frontotemporal Dementia with TDP-43	15 participants	https://www.alzheimersdata.org/	Strong FAIR compliance with multi-omics disease mechanism data	Biosample
C9orf72 FTD RNA-seq	C9orf72-RNA	[transcriptomics] Whole blood RNA-seq; C9orf72 expansion carriers; Gene expression	Frontotemporal Dementia; C9orf72-related ALS/FTD	114 participants	https://www.alzheimersdata.org/	Good FAIR compliance with genetic FTD transcriptomics	Biosample
The SleepQuest Dataset	SleepQuest	[clinical, genetics, imaging] Sleep studies; MRI; Genomics; Quality of life; Cognitive assessments	Sleep disorders; Cognitive function; Aging	100 participants	https://www.alzheimersdata.org/	Good FAIR compliance with sleep-cognition focused data	Human
Lilly Gamma-secretase Inhibitor Trials	LY450139	[clinical] Clinical trial data; Semagacestat trials; Multiple phase studies; Safety and efficacy	Alzheimer's Disease	3,648 participants across trials	https://www.alzheimersdata.org/	Good FAIR compliance with aggregated clinical trial data sharing	Human
Alzheimer's Disease Neuroimaging Initiative	ADNI	[clinical, genetics, imaging] ASL; Blood biomarkers; CSF biomarkers; Clinical assessments; Cognitive testing; DTI; FDG-PET; FLAIR; Florbetapir-PET; Genomics; Military service history; MRI (1.5T/3T); Neuropsychological testing; Plasma biomarkers; rs-fMRI; Tau-PET (AV-1451); T2*	Alzheimer's Disease; Early Mild Cognitive Impairment; Mild Cognitive Impairment; Normal Controls; Preclinical Alzheimer's Disease; PTSD; Traumatic Brain Injury	5,018 participants	https://adni.loni.usc.edu/	Strong FAIR compliance with standardized data formats, metadata, and open data sharing across all phases	Human
Global Parkinson's Genetics Program	GP2	[clinical, genetics] Ancestry analysis; Clinical data; Exome sequencing; Family studies; Genetic analysis; Genomics; GWAS; Illumina Global Diversity Array backbone; NeuroBooster array genotyping; Population genetics; Whole genome sequencing	Atypical Parkinsonism; Controls (global populations); Early-onset Parkinson's Disease; Familial Parkinson's Disease; Parkinson's Disease; Parkinson's Plus syndromes; Prodromal Parkinson's Disease	165,000+ participants (planned)	https://gp2.org/	Excellent FAIR compliance with global data sharing through AMP-PD and emphasis on diverse populations	Multiple
Alzheimer's Disease Sequencing Project	ADSP	[clinical, genetics] Clinical data; Genomics; Structural variant analysis; Whole exome sequencing; Whole genome sequencing	Alzheimer's Disease	20,000 participants	https://www.niagads.org/adsp/content/home	Strong FAIR compliance with genomic data standards, variant calling pipelines, and harmonized phenotypes	Human
