Study Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/kstwoak/CompileThePrincipleBrainMap	kstwoak	kstwoak	
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/sun-alf/BRAINMOD-o	sun-alf	sun-alf	Lua
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/alpatania/AHBA_microarray_Mapper	alpatania	alpatania	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/LeonDLotter/JuSpyce	LeonDLotter	LeonDLotter	Jupyter Notebook
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/neuropm-lab/cellmaps	neuropm-lab	nikaxpak	MATLAB
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/LabGenExp/Spatial_MCAO	LabGenExp	DanielZucha; valihral	R
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/usc-mrel/DCE_direct_recon	usc-mrel	eagle13gy	Matlab
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/LzyFischer/BrainMAP	LzyFischer	rampasek; LzyFischer; hamed1375; ChloeXWang; luis-mueller	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/automateyournetwork/brainfreeze	automateyournetwork	automateyournetwork	Jinja
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/hzluyali/differential-feature-map-neural-network-DFNN-	hzluyali	hzluyali	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/NeuroADaS-Lab/Multilayer-MRI	NeuroADaS-Lab	jcasasr	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/openBII/BiMap	openBII	fingersnail; huanyuqu	C++
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/GianlucaPorcelli/MRI_toumor_segmentation	GianlucaPorcelli	GianlucaPorcelli	MATLAB
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/fahd09/neurosynth_semantic_map	fahd09	fahd09; derekbeaton; kgeier	R
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/OishiLab/OpenMAP-Di	OishiLab	jhu-cnilab; shuhei126; nathanaelkuo; kei-lab1106	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/AdaptiveMotorControlLab/AllenBrainConnectivityGraph	AdaptiveMotorControlLab	hausmanns	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/ericminikel/scaso	ericminikel	ericminikel	R
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/AlvBrayan/MRS4Brain-toolbox	AlvBrayan	AlvBrayan	MATLAB
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/framinmansour/Learning-Macroscopic-Brain-Connectomes-via-Group-Sparse-Factorization	framinmansour	framinmansour	MATLAB
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/tipsyfermion/NMA_Mapping_Brain_Networks_2020	tipsyfermion	tipsyfermion	Jupyter Notebook
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/dicemt/DTI-NODDI	dicemt	dicemt	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/PennLINC/Brain_Organization	PennLINC	mb3152; ZaixuCui	MATLAB
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/cabrittin/elegansbrainmap	cabrittin	cabrittin	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/mbarbie1/SliceMap	mbarbie1	mbarbie1	Java
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/MoritzNegwer/FriendlyClearMap-scripts	MoritzNegwer	MoritzNegwer	Jupyter Notebook
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/neuropoly/lesion-mapping	neuropoly	charleygros; jcohenadad; yw7	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/BioMedAI-UCSC/BMapEst	BioMedAI-UCSC	28utkarsh	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/farhad324/Brain-MRI-Tumor-Classification-Using-CNN	farhad324	farhad324	Jupyter Notebook
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/stephan-strate/php-music-brainz-api	stephan-strate	dependabot[bot]; stephan-strate	PHP
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/SiriusHou/DLRS_CVR_BAT-Deep-learning-enabled-brain-hemodynamic-mapping-using-resting-state-fMRI	SiriusHou	SiriusHou	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/kvttt/4DInfantAtlas	kvttt	kvttt	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/Pedram-Parnianpour/3D-Texture-Analysis	Pedram-Parnianpour	Pedram-Parnianpour	MATLAB
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/ucam-department-of-psychiatry/maps_and_parcs	ucam-department-of-psychiatry	rb643; RafaelRomeroGarcia; manfredg	MATLAB
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/Brain-Mapper/brainMapper	Brain-Mapper	vz-chameleon; Graziella-Husson; maximeCluchague	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/tractatus/OpenBrainMap	tractatus	tractatus	JavaScript
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/T-Y-Liu/MedMAP	T-Y-Liu	T-Y-Liu	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/ubmagh/KMeans_mri_MapReduce	ubmagh	ubmagh	Java
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/AeroetteWang/English-etymology-tree-root-and-affix-mind-map-brain-map---	AeroetteWang	AeroetteWang	
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/Integrative-Mental-Health-Lab/linking_cell_types_to_brain_phenotypes	Integrative-Mental-Health-Lab	katyew; taydenli; hazalsenturk	HTML
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/vasl12/unsupervised_image_edge_registration	vasl12	vasl12	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/clane9/NSD-Flat	clane9	clane9	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/dgusain/NeuroBeatsDL	dgusain	dgusain	MATLAB
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/PavelSobolev/Brain-Computer-Interfaces-IoT-Home-Automation	PavelSobolev	PavelSobolev; levapvelobos	Kotlin
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/ARKAtheVLOGGER/Brain-Tumour-Detection-using-YOLOv5	ARKAtheVLOGGER	ARKAtheVLOGGER	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/clane9/boldGPT	clane9	clane9	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/jhaayush2004/NeuroVisionAI-TumorMapperNet	jhaayush2004	jhaayush2004	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/redyjq/BrainFunctionMapping	redyjq	Wylmer; redyjq	
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/tsb46/BrainMap-Cognitive-Ontology	tsb46	tsb46	MATLAB
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/siegert-lab/MorphOMICs_legacy	siegert-lab	rcubero; AminAlam	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/xnanodax/brain-map	xnanodax	xnanodax	JavaScript
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/tartavull/trace	tartavull	ffjiang; tartavull	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/cerent/Brain-Behavior-Mapping	cerent	cerent	Jupyter Notebook
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/AndriiPrikhodko/graph-topics	AndriiPrikhodko		TypeScript
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/Gloria-G2021/CFBM	Gloria-G2021	Gloria-G2021	Python
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/tipsyfermion/BCS_Mapping_of_Brain_Signals_2020	tipsyfermion	Consilium5128; tipsyfermion; p-rakesh; rishikas0508	MATLAB
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/r03ert0/CoactivationMap.app	r03ert0	r03ert0	C
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/mylifewaiting/brainwashing	mylifewaiting	mylifewaiting; justinelock; realjsonborn	HTML
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/Brain-Mapper/BrainMapper-help	Brain-Mapper	vz-chameleon; Graziella-Husson; maximeCluchague	HTML
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/esalman/autolabeller	esalman	esalman	MATLAB
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/baptisteCD/brainMapR	baptisteCD	baptisteCD	R
National Alzheimer's Coordinating Center Uniform Data Set	NACC-UDS	Alzheimer's Disease; Frontotemporal Dementia; Lewy Body Dementia; Normal Controls	https://github.com/manvis2/Predicting-Alzheimers-Disease-Progression	manvis2	manvis2	Jupyter Notebook
Open Access Series of Imaging Studies - Clinical Memory Disorders	OASIS-4	Memory Disorders; Dementia; Alzheimer's Disease	https://github.com/jobayer/OASIS4-JPG-Data-and-Label-Extractor	jobayer	jobayer	Jupyter Notebook
Open Access Series of Imaging Studies - Cross-sectional	OASIS-1	Alzheimer's Disease; Normal Controls	https://github.com/clin-projects/MRI-alzheimers-classification-OASIS1-	clin-projects	clin-projects	Jupyter Notebook
Open Access Series of Imaging Studies - Cross-sectional	OASIS-1	Alzheimer's Disease; Normal Controls	https://github.com/smhooten/MRI-Learn	smhooten	smhooten; andradenm	Python
Open Access Series of Imaging Studies - Cross-sectional	OASIS-1	Alzheimer's Disease; Normal Controls	https://github.com/twast0/OASIS_Alzheimers	twast0	twast0	Python
Open Access Series of Imaging Studies - Cross-sectional	OASIS-1	Alzheimer's Disease; Normal Controls	https://github.com/mayasarkar/alzheimers-mri	mayasarkar	mayasarkar	Jupyter Notebook
Open Access Series of Imaging Studies - Cross-sectional	OASIS-1	Alzheimer's Disease; Normal Controls	https://github.com/Nahidhasan07/Alzheimer-s-Disease-Detection	Nahidhasan07	Nahidhasan07	Jupyter Notebook
Open Access Series of Imaging Studies - Cross-sectional	OASIS-1	Alzheimer's Disease; Normal Controls	https://github.com/EvicaDojovska/alzheimer-3d-mri-detection	EvicaDojovska	EvicaDojovska	Jupyter Notebook
Open Access Series of Imaging Studies - Cross-sectional	OASIS-1	Alzheimer's Disease; Normal Controls	https://github.com/Nathansuares/Alzheimer-s-disease-Prediction	Nathansuares	Nathansuares	Jupyter Notebook
Open Access Series of Imaging Studies - Cross-sectional	OASIS-1	Alzheimer's Disease; Normal Controls	https://github.com/anilmenon14/OASIS_CNN_dementia_patterns	anilmenon14	anilmenon14	Jupyter Notebook
Open Access Series of Imaging Studies - Cross-sectional	OASIS-1	Alzheimer's Disease; Normal Controls	https://github.com/dewesh-chopra/ca550_project	dewesh-chopra	dewesh-chopra	Jupyter Notebook
Open Access Series of Imaging Studies - Cross-sectional	OASIS-1	Alzheimer's Disease; Normal Controls	https://github.com/aurgas/Brain-age-prediction	aurgas	aurgas	Jupyter Notebook
Open Access Series of Imaging Studies - Cross-sectional	OASIS-1	Alzheimer's Disease; Normal Controls	https://github.com/FahimFBA/organize-OASIS	FahimFBA	FahimFBA	HTML
Open Access Series of Imaging Studies - Longitudinal	OASIS-2	Alzheimer's Disease; Normal Controls; Conversion from Normal to Dementia	https://github.com/CrisCorreaS/AD-prediction-classification-models	CrisCorreaS	CrisCorreaS	Jupyter Notebook
Open Access Series of Imaging Studies - Longitudinal	OASIS-2	Alzheimer's Disease; Normal Controls; Conversion from Normal to Dementia	https://github.com/MansiSinghal502/Investigating-Bias-and-Fairness-for-Alzheimer-s-Diagnosis-Using-the-OASIS-2-Dataset	MansiSinghal502	MansiSinghal502	Jupyter Notebook
Open Access Series of Imaging Studies - Longitudinal	OASIS-2	Alzheimer's Disease; Normal Controls; Conversion from Normal to Dementia	https://github.com/MansiSinghal502/BMEN691	MansiSinghal502	MansiSinghal502	Jupyter Notebook
Open Access Series of Imaging Studies - Longitudinal	OASIS-2	Alzheimer's Disease; Normal Controls; Conversion from Normal to Dementia	https://github.com/MansiSinghal502/Mansi_30235170_BMEN619.03_Final_Project	MansiSinghal502	MansiSinghal502	Jupyter Notebook
Open Access Series of Imaging Studies - Longitudinal	OASIS-2	Alzheimer's Disease; Normal Controls; Conversion from Normal to Dementia	https://github.com/UmairAmir/Alzheimer-Detection-23-	UmairAmir	UmairAmir	Jupyter Notebook
Open Access Series of Imaging Studies - Longitudinal	OASIS-2	Alzheimer's Disease; Normal Controls; Conversion from Normal to Dementia	https://github.com/NanaNyarko/dementia_prediction	NanaNyarko	NanaNyarko; angelobioko	Python
Open Access Series of Imaging Studies - Longitudinal	OASIS-2	Alzheimer's Disease; Normal Controls; Conversion from Normal to Dementia	https://github.com/anilmenon14/OASIS_CNN_dementia_patterns	anilmenon14	anilmenon14	Jupyter Notebook
Open Access Series of Imaging Studies - Longitudinal	OASIS-2	Alzheimer's Disease; Normal Controls; Conversion from Normal to Dementia	https://github.com/divijsharma123/Dementia-Analysis	divijsharma123	divijsharma123	Jupyter Notebook
Open Access Series of Imaging Studies - Longitudinal	OASIS-2	Alzheimer's Disease; Normal Controls; Conversion from Normal to Dementia	https://github.com/gopibattineni/Dementia-prediciton_OASIS2	gopibattineni	gopibattineni	Jupyter Notebook
Open Access Series of Imaging Studies - Longitudinal	OASIS-2	Alzheimer's Disease; Normal Controls; Conversion from Normal to Dementia	https://github.com/dewesh-chopra/ca550_project	dewesh-chopra	dewesh-chopra	Jupyter Notebook
Open Access Series of Imaging Studies - Longitudinal	OASIS-2	Alzheimer's Disease; Normal Controls; Conversion from Normal to Dementia	https://github.com/aliciagonsalves/longitudinal-neuroimaging-prediction	aliciagonsalves	aliciagonsalves	Jupyter Notebook
Open Access Series of Imaging Studies - Multimodal	OASIS-3	Alzheimer's Disease; Normal Controls; Cognitive Decline; Memory Disorders	https://github.com/aycancagriemen/Masters_Thesis	aycancagriemen	aycancagriemen	R
Open Access Series of Imaging Studies - Multimodal	OASIS-3	Alzheimer's Disease; Normal Controls; Cognitive Decline; Memory Disorders	https://github.com/davidechicco/dementia-clustering-OASIS-3	davidechicco	davidechicco	R
Open Access Series of Imaging Studies - Multimodal	OASIS-3	Alzheimer's Disease; Normal Controls; Cognitive Decline; Memory Disorders	https://github.com/EIB-sawbones/craNNium	EIB-sawbones	RaySSharma; amichoi; EIB-sawbones	Jupyter Notebook
Open Access Series of Imaging Studies - Multimodal	OASIS-3	Alzheimer's Disease; Normal Controls; Cognitive Decline; Memory Disorders	https://github.com/gemmamoffat/OASIS3_LMEanalyses	gemmamoffat	gemmamoffat	MATLAB
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/rmarkello/pypmi	rmarkello	rmarkello	Python
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/ck37/ppmi-challenge-2016	ck37	ck37	R
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/MJFF-ResearchCommunity/PIE	MJFF-ResearchCommunity	allianceai; AmgadDroby; e-hutchins	Python
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/TianjieCheng/PPMI	TianjieCheng	TianjieCheng	
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/Andreater/parkinson_cdss	Andreater	Andreater; 217c	R
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/AlvaroRaul7/parkinson-disorders	AlvaroRaul7	AlvaroRaul7	Python
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/YuchengSheng/IRT	YuchengSheng	YuchengSheng	R
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/JacksonGS-1/Alpha-Synuclein-Seeding-Activity-and-Parkinsons-Disease-Progression	JacksonGS-1	JacksonGS-1	SAS
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/ellenbouchard/PPMI_Data_Explorer	ellenbouchard	ellenbouchard	R
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/sameerd/ppmi	sameerd	sameerd; cseas; ypotier	Jupyter Notebook
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/IoBT-VISTEC/PPMI_DL	IoBT-VISTEC	thee-pn; IoBT-VISTEC	Python
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/sheryl-ai/PPMI-Subtype-Analysis	sheryl-ai	sheryl-ai	Python
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/Rrtk2/PPMI-ML-Cognition-PD	Rrtk2		R
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/vtn6/PPMI-Data-Mining	vtn6	vtn6	R
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/rmarkello/ppmitobids	rmarkello	rmarkello	Python
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/arunava5764/Predictive_Analysis_of_Parkinsons_Disease_from_Gait_Sensor_Data_and_Brain_MRI_Images	arunava5764	arunava5764	Jupyter Notebook
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/GalvanizeDataScience/Project-PPMI	GalvanizeDataScience	cbracher69	
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/sayadennis/ppmi	sayadennis	sayadennis	Jupyter Notebook
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/Niharika626/PD_DETECTION	Niharika626	Niharika626	Jupyter Notebook
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/ffaghri1/ppmi-mjff	ffaghri1	ffaghri1	Jupyter Notebook
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/brian-j-smith/PPMIChallenge2016	brian-j-smith	brian-j-smith; petersonR	R
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/dhareshvadalia/PPMI	dhareshvadalia	dhareshvadalia	Jupyter Notebook
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/jhaker/PPMI	jhaker	jhaker	
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/JiayuanDing100/Parkinson-Progression-Prediction	JiayuanDing100	JiayuanDing100	Python
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/zainabnazari/ppmi	zainabnazari	zainabnazari	Jupyter Notebook
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/nageshgurram12/pd_modeling_ppmi	nageshgurram12	nageshgurram12	Jupyter Notebook
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/mandirashetty/Parkinson-s-Diseases-Prediction-using-PPMI-dataset	mandirashetty	mandirashetty	Jupyter Notebook
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/AmineHamzaoui/Parkinson-Subtybing-and-Stage-Inference---PPMI	AmineHamzaoui	AmineHamzaoui	Jupyter Notebook
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/dhanushgc/PPMI-Parkinson-s-Disease-Classification-Using-MRI-Images	dhanushgc	dhanushgc	Jupyter Notebook
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/martcous/ppmi-study	martcous	martcous	
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/vansh22559/ParkinsonsMLPrediction	vansh22559	vansh22559	Jupyter Notebook
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/krupallad09/Parkinson-Disease-Classification-RKAN	krupallad09	krupallad09	Jupyter Notebook
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/elisagdelope/statistical_analyses_cross_long_PD	elisagdelope	elisagdelope	R
Parkinson's Progression Markers Initiative	PPMI	Parkinson's Disease; Prodromal Parkinson's Disease; SWEDD; Normal Controls; Genetic PD (LRRK2, GBA, SNCA mutations)	https://github.com/ishajagadish/synopsys2021	ishajagadish	ishajagadish	Jupyter Notebook
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/kkkiyomi1/ROSC-S	kkkiyomi1	kkkiyomi1	Python
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/Polster-lab/m6a_regulators_rosmap	Polster-lab	danish2562022	Jupyter Notebook
Religious Orders Study	ROS	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/alexeykolodkin/ROS_model	alexeykolodkin	alexeykolodkin	
