Study Name	Abbreviation	Diseases Included	Repository Link	Owner	Contributors	Languages	Biomedical Relevance	Code Summary	Data Types	Tooling
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/anoopctkm/Alzheimer-s-mapping-US	anoopctkm	anoopctkm	R	YES - The repository title clearly indicates it relates to Alzheimer's disease mapping in the United States, which is directly related to neuroscience and medical research.	Not specified - While the repository name suggests it involves mapping of Alzheimer's disease data across the United States, there is insufficient public content visible to determine the specific functionality and features of the code.	Not specified - Without access to the repository's contents, the specific data types, formats, and sources cannot be determined, though it likely involves geographical and epidemiological data related to Alzheimer's disease.	Not specified - The technical tools and frameworks used in this repository are not visible in the available information. Note: This analysis is limited due to minimal visible content in the repository. A more detailed analysis would require access to the repository's actual contents, including code files, documentation, and data structures.
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/mayuan-0117/Alzheimer-s-project-MAPT-and-APPLOF	mayuan-0117	mayuan-0117		YES - This repository contains code for analyzing epilepsy data from the UK Biobank, combining self-reported diagnoses and ICD-10 medical codes, which is directly related to medical research and healthcare data analysis.	This repository contains R scripts designed to extract and analyze epilepsy-related data from the UK Biobank dataset. The code performs several key functions: 1. Extracts self-reported epilepsy diagnoses from participants 2. Processes ICD-10 diagnostic codes related to epilepsy 3. Combines both self-reported and ICD-10-based diagnoses into a unified dataset 4. Creates multiple output files for different types of epilepsy classifications 5. Calculates correlations between different diagnosis methods The script is specifically designed to handle large-scale biomedical data processing, incorporating both direct patient reports and standardized medical coding systems to create comprehensive epilepsy phenotype data.	1. UK Biobank data files (ukb43357.txt, ukb23155.common.all.eigenvec) 2. ICD-10 diagnostic codes (stored in epilepsyDiagnosis.txt) 3. Self-reported diagnosis codes 4. Demographic data (sex information) 5. Output formats: Tab-separated text files (.txt) 6. Principal Components data 7. LOF (Loss of Function) results files for APP and MAPT genes 8. Various phenotype files (EA, OH, SP)	1. R programming language (version 3.6.1) 2. Unix/Linux command line tools (tail, cut) 3. Base R functions for data manipulation 4. File system operations 5. Matrix operations for correlation analysis 6. Data frame manipulations 7. System command execution through R's system() function
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/bia-amg/AD-Invivo-Amyloid-Mapping	bia-amg	bia-amg		YES - This repository is directly related to neuroscience and Alzheimer's disease research, specifically focusing on mapping amyloid plaques in a 5xFAD mouse model, which is a common animal model used in Alzheimer's disease studies.	This repository contains a pipeline for analyzing and mapping amyloid plaques in brain tissue from 5xFAD mouse models of Alzheimer's disease. The workflow appears to consist of two main components: 1) An image processing pipeline for stitching and processing brain tissue images, and 2) A deep learning-based system for detecting and counting amyloid plaques. Based on the pipeline diagrams shown, the system processes large-scale microscopy images, performs image stitching and preprocessing, and then applies machine learning techniques to identify and quantify amyloid plaques, which are key pathological markers in Alzheimer's disease research.	From the pipeline diagrams shown: - Microscopy images of brain tissue - Stitched large-scale images - Processed/enhanced images - Binary detection maps (from deep learning output) - Quantitative data (plaque counts) Specific file formats are not explicitly mentioned in the available information.	Based on the pipeline diagrams, the repository appears to use: - Image processing tools (specific packages not mentioned) - Deep learning frameworks (specific framework not mentioned) - Image stitching software However, specific tools, packages, and frameworks are not explicitly listed in the available repository information.
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/binmishr/Mapping-the-Prevalence-of-Alzheimer-Disease-Mortality-in-the-USA	binmishr	binmishr		YES - This repository is directly related to healthcare and epidemiology as it focuses on mapping and analyzing Alzheimer's Disease mortality rates across the United States.	This repository contains code for creating geographical visualizations and analysis of Alzheimer's Disease mortality data across the United States. While the full code details are contained in a Word document, the repository's title and purpose suggest it's designed to generate maps showing the prevalence and distribution of Alzheimer's Disease deaths across different US regions. This type of visualization tool would be valuable for healthcare policy makers, researchers, and medical professionals to understand geographical patterns in Alzheimer's mortality rates.	Not specified - The repository description doesn't explicitly state the data types or sources used. However, given the mapping focus, it likely involves: - Geographical data for US regions/states - Mortality statistics related to Alzheimer's Disease - Demographic data But without access to the Word document contents, specific data formats and sources cannot be confirmed.	Not specified - While the repository likely uses R or Python (common for geographical visualization), and possibly mapping libraries like ggplot2 or leaflet, the specific tools and packages are not visible in the repository description without accessing the Word document.
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/bricemcconnell/Mapping-Sleep-Oscillatory-Events	bricemcconnell	bricemcconnell		YES - This repository contains code specifically designed for analyzing sleep oscillatory events as biomarkers for Alzheimer's disease, making it directly relevant to both neuroscience and medical research.	This repository contains MATLAB code that supports research on sleep oscillations as potential biomarkers for Alzheimer's disease, as described in the associated published manuscript. The code appears to be designed for mapping and analyzing sleep-related oscillatory events in the context of Alzheimer's disease diagnosis or progression monitoring. The work is tied to a peer-reviewed publication in Alzheimer's & Dementia journal, suggesting it's part of a formal research study examining the relationship between sleep patterns and Alzheimer's disease. The repository is provided as a public version of the analysis code used in the published research, allowing for reproducibility and verification of the study's methods.	Not specified - While the repository likely deals with sleep-related physiological data and oscillatory patterns, the specific data formats, structures, or input requirements are not detailed in the available repository information.	- MATLAB (primary programming environment) No other specific tools, packages, or frameworks are mentioned in the available repository information.
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/ernest431/Geofencing	ernest431	ernest431	JavaScript	NO - Despite the repository name suggesting geofencing capabilities, this appears to be a standard Laravel framework template repository with no specific biomedical or healthcare functionality implemented.	This repository appears to be a basic Laravel framework installation without any custom implementation. It contains the default Laravel welcome page and standard framework documentation. The repository name suggests it might have been intended for a geofencing application, but no actual geofencing code or functionality is visible in the provided content. The repository contains only the basic Laravel framework boilerplate, which includes routing capabilities, database ORM, caching systems, and event broadcasting features, but no specific business logic or custom implementation is shown.	Not specified in the repository content. The default Laravel framework supports various data types and database systems, but no specific data structures or formats are implemented in this repository.	The repository utilizes the following tools and frameworks: - Laravel PHP Framework - Laravel dependency injection container - Laravel Eloquent ORM - Laravel routing engine - Laravel migration system - Laravel queuing system - Laravel broadcasting system - Travis CI (for continuous integration) - Composer (PHP package manager, implied by Packagist references) - MIT License
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/GallinM/Clinical-Patient-Pathway-Map	GallinM	GallinM		YES - This repository directly relates to healthcare as it analyzes and visualizes clinical patient pathways through the NHS England hospital system, specifically focusing on Alzheimer's disease patients and their treatment journey.	This repository contains code for generating visual process maps of patient pathways through the NHS England hospital system. The code processes hospital admission and treatment data to create both static and animated visualizations showing how Alzheimer's patients move through different stages of care, from referral to discharge. The system is designed to be adaptable to any disease condition by modifying ICD-10 codes. It analyzes patient journey data to identify the most common pathways (focusing on the top 80% of frequent paths) and visualizes treatment sequences, delays, and transitions between different stages of care. The tool is particularly valuable for healthcare systems analysis and clinical pathway optimization.	- Secondary Uses Service (SUS) data from NHS England - ICD-10 diagnostic codes - OPCS level 4 treatment codes - Patient pathway event logs - Temporal data (accurate to nearest day) - Performance Analysis Team database data Data format specifications are not explicitly mentioned in the repository.	- R Markdown for code implementation - NHS England Unified Data Access Layer (UDAL) environment - bupar.net tools (referenced but specific packages not detailed) - Git/GitHub for version control - Visualization tools (specific packages not mentioned but implied for static and animated process maps)
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/cocogon/Degus	cocogon	cocogon		YES - This repository is directly related to neuroscience research, specifically studying hippocampal activity in Octodon degus as a model organism for Alzheimer's disease research.	This repository contains data supporting research on spatial mapping and neural oscillations in the hippocampus of Octodon degus (a rodent species). The data is meant to accompany a manuscript studying these animals as natural models for sporadic Alzheimer's disease. The repository appears to focus on providing position tracking data and neural spike data from individual cells in the hippocampus during open field experiments. This data is crucial for understanding spatial navigation and memory functions in the context of neurodegenerative disease research.	- MATLAB (.mat) format files - Position tracking data from open field experiments - Neural spike data from individual cells - Spatial mapping data from hippocampal recordings - Behavioral tracking data (animal position in open field)	- MATLAB (implied by .mat file format) - Other specific tools or frameworks are Not specified in the repository information Note: The repository appears to be primarily a data repository rather than a code repository, with the main purpose of sharing experimental data in MATLAB format to support published research findings.
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/gracenng/Alz-Prod	gracenng	NihalPotdar	Dart	YES - This repository directly addresses a medical condition (Alzheimer's disease) and provides assistive technology for patients with neurodegenerative disorders. The application has clear clinical relevance for supporting individuals with cognitive impairment.	This repository contains an Android application designed to assist Alzheimer's patients with daily living and safety. The app has two primary functions: facial recognition to help patients identify loved ones using Microsoft Azure's Face API, and navigation assistance using Google Maps API to help patients find their way home. The application is built using Flutter for the frontend and Python (Aiohttp) for the backend server. The project aims to address two critical challenges faced by Alzheimer's patients: maintaining recognition of family members and preventing wandering/getting lost. The implementation combines modern mobile technology with cloud-based AI services to create an accessible assistive tool for individuals with cognitive impairment.	- Facial image data (processed through Azure Face API) - Geolocation data (for Google Maps navigation) - Pre-set location data (home address coordinates) - User authentication data (implied by the system architecture) The specific file formats and data storage methods are not explicitly mentioned in the repository information.	- Frontend: Flutter (cross-platform mobile development framework) - Backend: Python with Aiohttp server - APIs: - Microsoft Azure Face API (facial recognition) - Google Maps API (navigation) - Development Environments: Visual Code and Android Studio - Python virtual environment - Pip package manager - Android mobile platform
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/RajLabMSSM/Fine_Mapping	RajLabMSSM	bschilder	HTML	YES - This repository is explicitly focused on genetic fine-mapping analysis for Parkinson's Disease and Alzheimer's Disease research, combining both genetic and functional analysis tools for neurodegenerative disease research.	This repository contains echolocatoR, an R library that integrates multiple genetic fine-mapping tools for analyzing GWAS (Genome-Wide Association Study) data. The software is designed to identify causal genetic variants associated with Parkinson's and Alzheimer's Disease. It provides a comprehensive workflow that includes genetic fine-mapping of multiple loci (including 78 PD loci), functional fine-mapping (especially for the LRRK2 locus), and various annotation and enrichment analyses. The repository includes interactive R Markdown outputs for visualizing results and incorporates multiple established fine-mapping methodologies into a unified analysis pipeline.	- GWAS summary statistics from multiple sources: - Parkinson's Disease data from Nalls et al. (2019) & 23andMe - Alzheimer's Disease data from multiple studies (Lambert, Marioni, Posthuma, Kunkle) - LD (Linkage Disequilibrium) reference panels from UK Biobank and 1000 Genomes Project - QTL data: - eQTL data from MESA and Fairfax studies - e/c/isoQTL and HiC data from psychENCODE - Genome annotation data (GRCh37)	1. Fine-mapping Tools: - susieR - FINEMAP - ABF - GCTA-COJO - PAINTOR - fGWAS - coloc 2. Annotation & Enrichment Tools: - HaploR - XGR - fGWAS - GoShifter 3. Programming Languages/Environments: - R (primary language) - R Markdown for interactive reports - Git for version control
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/tatsuhikonaito/Trans-ethnic_MHC_fine-mapping_SS	tatsuhikonaito	tatsuhikonaito	Python	YES - This repository is directly related to biomedical research, specifically focusing on genetic analysis of the Major Histocompatibility Complex (MHC) region in relation to Parkinson's Disease risk across different ethnic populations.	This repository contains code for performing trans-ethnic fine-mapping analysis of the MHC region using GWAS (Genome-Wide Association Studies) summary statistics. The software pipeline enables researchers to analyze genetic associations across different ethnic populations, specifically focusing on Parkinson's Disease risk factors. The codebase provides three main functionalities: (1) fine-mapping of the MHC region using summary statistics, (2) sample size-based meta-analysis of Z-scores across multiple studies, and (3) conditional analysis of summary statistics. It includes tools for file format conversion and handles complex statistical analyses needed for genetic association studies. The pipeline is designed to work with both European and Asian population data, making it valuable for cross-population genetic studies.	- GWAS summary statistics files - HLA imputation reference panels (in Plink binary format) - DISH output files (.dish.txt) - GCTA-COJO output files (.cma.cojo) - Meta-analysis result files - Input list files (plain text): - DISHFILE_LIST.txt (study files and sample sizes) - REF_LIST.txt (reference panel filenames) - ALLELE_LIST.txt (allele information)	1. Programming Languages: - Python 3.x (3.7.4) - R 2. Python Packages: - Numpy (1.17.2) - Pandas (0.25.1) - Scipy (1.3.1) - Argparse (1.4.0) 3. Bioinformatics Tools: - Plink (genetic analysis tool) - DISH (HLA imputation tool) - GCTA-COJO (conditional analysis tool) 4. Version Control: - Git
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/DamarisVinueza/deberphyton	DamarisVinueza	DamarisVinueza		YES - The repository appears to be related to creating a science map for Parkinson's disease, which is a significant neurodegenerative disorder studied in biomedical research.	"Not specified - The repository title and brief description mention creating a ""map of science"" for Parkinson's disease, but no actual code or detailed functionality description is visible in the provided information. Without access to the actual code files or documentation, the specific implementation details cannot be determined."	Not specified - The repository information provided does not detail any specific data types, formats, or sources being used.	"Not specified - While the repository name suggests Python usage (""deberphyton""), no specific tools, packages, or frameworks are explicitly mentioned in the provided information. Note: This analysis is very limited due to the minimal information provided about the repository. A more detailed analysis would require access to the actual repository contents, code files, documentation, and any data resources used in the project."
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/sknoth/parkinson-help	sknoth	sknoth	JavaScript	YES - The repository appears to be related to Parkinson's disease, a significant neurological condition. However, it's noted as a university assignment and the medical depth/purpose isn't clearly specified.	This repository contains a web application that appears to be an academic project related to Parkinson's disease. The application incorporates social media authentication (OAuth) with Facebook, Twitter, and Google integration, data visualization capabilities using D3.js, and an interactive Google Maps component. Given its description as a university assignment, it likely serves as an educational demonstration of combining modern web technologies with health-related content, though the specific medical functionality is not detailed in the available information.	Not specified - While the repository mentions data visualization with D3.js, the specific types of data, formats, and sources are not detailed in the available information.	- OAuth (Authentication framework for Facebook, Twitter, Google) - D3.js (Data visualization library) - Google Maps API (Interactive mapping functionality) - Web technologies (implied by the application structure, but specific frameworks not specified)
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/alexCortinaU/parkinson_classification	alexCortinaU	alexCortinaU	Jupyter Notebook	YES - This repository is directly focused on neuroscience and medical imaging, specifically targeting Parkinson's Disease classification using MRI imaging data. It represents a master's thesis project conducted at a medical research center using advanced neuroimaging techniques.	This repository contains code for analyzing and classifying Parkinson's Disease using deep learning models and quantitative MRI data. The project is structured in three main components: 1) A preprocessing pipeline that generates quantitative MRI maps from multiparametric protocols using the hMRI toolbox, 2) A binary classification system implemented in PyTorch Lightning for disease detection, and 3) A normative modeling approach for image reconstruction and analysis. The code implements both traditional classification and explainable AI (XAI) methods to understand disease patterns in neuroimaging data. The project aims to identify neurodegeneration patterns in Parkinson's Disease using 3T quantitative MRI maps, combining advanced imaging techniques with modern deep learning approaches.	- Quantitative MRI maps (MTsat, R1, R2*, and PD*) - Multiparametric (MPM) protocol imaging data - Synthseg parcellation data - MNI PD25 atlas data - Image reconstruction maps - Model weights (mentioned but not shared due to data protection) - Neural network training and inference data Note: Actual patient data is not included due to data protection laws	- MATLAB (for MRI map generation) - hMRI toolbox - ANTs (Advanced Normalization Tools) - Python - PyTorch Lightning - Conda (environment management) - Synthseg (for parcellation) - XAI (Explainable AI) algorithms - Bash scripts - MNI PD25 atlas tools - Environment management via conda/yml files
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/kajuni/Bodily-maps-of-symptoms-and-emotions-in-PD	kajuni	kajuni		YES - This repository is directly related to biomedical research, specifically focusing on Parkinson's disease (PD) research through the analysis of bodily maps of symptoms and emotions, which falls under both neuroscience and clinical medicine.	This repository contains analysis maps from a study examining bodily manifestations of symptoms and emotions in Parkinson's disease patients. The repository doesn't contain code per se, but rather hosts the resulting neuroimaging maps from the analysis. These maps include Cohen's D effect size maps comparing PD patients with control groups, T-maps showing group comparisons, and Principal Component Analysis (PCA) loading maps. The repository supports a published study in Movement Disorders Journal, providing researchers access to the neuroimaging data used in the analysis of how Parkinson's disease affects bodily symptoms and emotional experiences.	1. NIfTI (Neuroimaging Informatics Technology Initiative) format files 2. Three types of analysis maps: - Cohen's D effect size maps (1S_T-Test_CohensD) - T-maps for group comparisons (2S_T-Test) - PCA loading maps (PCA_Analysis) 3. Data includes both control group (CTR_) and Parkinson's disease group (PD_) measurements	1. FSLeyes - Neuroimaging visualization software 2. Mango - Neuroimaging visualization software 3. R 4.3.2 (specifically the prcomp function for PCA analysis) 4. Statistical analysis tools for T-tests and Cohen's D calculations (specific tools not specified)
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/khareyash05/Parkinson-s-Disease-Brain-Imaging	khareyash05	khareyash05	Jupyter Notebook	YES - This repository directly addresses Parkinson's disease diagnosis through brain MRI analysis, which is clearly within the domains of neuroscience and medical diagnostics.	This repository implements a computer-aided diagnostic system for Parkinson's disease using brain MRI images. The system consists of three main components: (1) Image enhancement pipeline that converts RGB images to YUV color space, applies Gaussian blur for noise reduction, and uses contrast-limited adaptive histogram equalization; (2) Region of interest extraction using a custom CNN to identify the Substantia Nigra (SN) region of the brain; and (3) Final classification stage using a modified AlexNet architecture to differentiate between Parkinson's disease and control cases. The system aims to reduce diagnostic variability and improve the speed and accuracy of Parkinson's disease diagnosis compared to traditional clinical assessments.	- MRI brain images (RGB format) - Multiple brain slice images - Image size: 512x512 pixels mentioned for input - YUV color space converted images - Binary classification labels (PD vs. Control) - Substantia Nigra (SN) region images Note: Specific dataset source is not mentioned in the provided content	- Convolutional Neural Networks (CNN) - Modified AlexNet architecture - Image processing techniques: - Gaussian blur - Contrast Limited Adaptive Histogram Equalization (CLAHE) - RGB to YUV color space conversion - Jupyter notebooks (referenced as .ipynb files) - Python (implied by the use of notebooks) Note: Specific versions and additional dependencies are not mentioned in the provided content.
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/ahmedmoustafa/AfricaPD	ahmedmoustafa	ahmedmoustafa	Jupyter Notebook	YES - This repository is directly related to biomedical research, specifically focusing on Parkinson's Disease (PD) research across Africa. It appears to be a catalog or mapping tool for tracking PD research publications in the African continent.	The repository appears to be a web-based visualization project that creates an interactive map to display published research related to Parkinson's Disease in Africa. The main functionality seems to be geographic visualization of research data, allowing users to interactively explore PD research publications across different African countries through a web interface. The repository hosts both the data and the visualization code needed to generate this interactive map, which is accessible through GitHub Pages at the provided URL.	Not specified - While the repository likely contains geographic data and publication metadata related to Parkinson's Disease research in Africa, the specific data formats, structures, and sources are not visible in the provided repository information.	Not specified - While the repository uses GitHub Pages for hosting the interactive map, other specific tools, frameworks, or technologies used for creating the visualization are not visible in the provided repository information.
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/GSC23-HeadHome/HeadHome	GSC23-HeadHome	chayhuixiang; ongjx16; changdaozheng; Trigon25		YES - This repository is directly related to healthcare, specifically focused on helping dementia patients and their caregivers by providing a technological solution to address wandering behavior, which is a common and dangerous symptom of dementia.	HeadHome is a comprehensive system designed to help dementia patients safely return home when they experience wandering episodes. The solution combines a mobile application and wearable device to create a safety net for dementia patients. The system has three main components: 1) A patient interface that provides navigation assistance and automatic alerts when leaving safe zones, 2) A caregiver interface for monitoring patient location and sending SOS alerts, and 3) A volunteer interface that enables community members to assist lost patients. The system leverages real-time location tracking, push notifications, and authentication systems to ensure patient safety while maintaining privacy. The solution addresses a critical healthcare challenge, as statistics show 60% of dementia patients experience wandering episodes.	- Location data (GPS coordinates) - User authentication data - Patient identification data - Push notification data - Profile assets (stored in Firebase Storage) - Business intelligence data (stored in BigQuery) - Operational metrics and logging data - Maps/navigation data (from Google Maps Platform) - User interaction data (stored in Cloud Firestore)	1. Frontend/Mobile: - Flutter & Dart for mobile app development - Arduino & ESP32 for wearable device 2. Backend/Cloud: - Go programming language with Gin framework - Google Cloud Platform services: - Cloud Run - Cloud Build - Cloud Load Balancing - Secret Manager - Cloud Monitoring - Cloud Logging 3. Database/Storage: - Firebase Authentication - Firebase Cloud Messaging - Firebase Storage - Firebase Cloud Firestore - Google BigQuery 4. Analytics/Monitoring: - Looker Studio for business intelligence - Google Maps Platform for navigation - Cloud Monitoring for operational metrics 5. DevOps: - GitHub for version control - Google Cloud Source Repositories - Artifact Registry - CI/CD pipeline integration
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/tmi-lab/AD-VD-ChronologicalMapping	tmi-lab	PBarnaghi; cw332	Jupyter Notebook	YES - This repository is directly focused on biomedical research, specifically studying the temporal progression of comorbidities in Alzheimer's Disease and Vascular Dementia through health data analysis.	This repository contains code and supplementary materials for analyzing the chronological progression of comorbid conditions in patients with Alzheimer's Disease and Vascular Dementia. The core functionality appears to be centered around network analysis, implemented through Jupyter notebooks, to map and visualize how different medical conditions develop and interact over time in dementia patients. The code specifically implements Undirected Bayesian Network Analysis to create temporal network graphs that show relationships between different diagnoses across different time frames, comparing both dementia patients and control populations. The analysis appears to be structured to identify distinct progression pathways and patterns in how multiple medical conditions develop alongside neurodegenerative diseases.	- Health records data (implied but format not specified) - Network graphs showing temporal relationships between diagnoses - Research manuscript in preprint format (via medRxiv) - Jupyter notebooks containing analysis code - Network visualization data for both control and dementia populations - Time-series medical diagnosis data (implied by chronological mapping)	- Jupyter Notebooks for code implementation and analysis - Undirected Bayesian Network Analysis tools (specific package not mentioned) - Network analysis tools (specific packages not mentioned) - Network visualization tools (specific packages not mentioned) - GitHub for version control and code sharing Note: While the repository structure implies the use of various data analysis and visualization tools, specific packages and frameworks are not explicitly mentioned in the provided information.
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/gvnberaldi/Pose2Action	gvnberaldi	gvnberaldi; iballester	Python	YES - This repository directly relates to healthcare applications, specifically focusing on assistive technology for individuals with dementia in bathroom settings. The system is designed to monitor and recognize human actions for patient safety while preserving privacy.	The repository implements a privacy-preserving Human Action Recognition (HAR) system specifically designed for monitoring individuals with dementia in bathroom environments. The system uses a two-stage approach: first, it employs the SPiKE model to estimate 3D human poses from depth map data, then uses a Relational Graph Convolutional Network (RGCN) to classify human actions. The pipeline processes depth sensor data to generate point clouds, extracts skeletal structures, constructs spatio-temporal graphs, and finally classifies actions like walking, sitting, and washing hands. The system operates in real-time and maintains privacy by using depth data rather than regular video footage. It's particularly notable for its medical application in assistive care, helping monitor patient safety while preserving dignity.	1. Depth Maps: 3D spatial data captured by depth sensors 2. Point Clouds: 3D spatial distributions converted from depth maps 3. 3D Skeleton Data: 15 body joint coordinates in 3D space 4. Spatio-temporal Graphs: Representing skeletal motion over time 5. Custom BAD Dataset: Contains: - Depth map recordings from bathroom settings - 2D skeleton annotations - Action labels for eight different human activities 6. Training/Testing performance metrics (mAP, PCK scores)	1. Deep Learning Frameworks (implied but not explicitly specified): - SPiKE model for 3D Human Pose Estimation - RGCN (Relational Graph Convolutional Network) for action classification 2. Graph Neural Network components 3. Transformer networks for temporal encoding 4. Python-based implementation (evidenced by pip requirements) 5. Custom training and inference scripts 6. Potential Answer Set Programming (ASP) tools for safety rules (mentioned as future improvement) Note: Specific versions and complete list of dependencies are not provided in the repository excerpt.
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/jayborch/Mapping-Tasmanian-Dementia-Risk	jayborch	jayborch		YES - The repository title directly references dementia risk mapping in Tasmania, which is clearly related to neurodegenerative disease research and public health.	Not specified - While the repository title suggests it contains code for mapping dementia risk factors in Tasmania, no additional repository content is visible to determine specific functionality or features.	Not specified - Without access to the repository contents, specific data types and formats cannot be determined, though the title suggests geographical and epidemiological data may be involved.	Not specified - Without access to the repository contents or code files, the specific tools and technologies used cannot be determined. Note: The analysis is limited because the repository appears to be either private, empty, or inaccessible. A more detailed analysis would require access to the actual repository contents, including code files, documentation, and data descriptions.
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/swaharoy/carepartners_map	swaharoy	swaharoy	Python	YES - While not directly conducting biomedical research, this repository is healthcare-adjacent as it supports a nonprofit organization (CarePartners) that serves people with dementia and their caregivers, making it relevant to healthcare service delivery and support systems.	This repository contains a Dash-based interactive web application that visualizes donor data for CarePartners, a Houston-based healthcare nonprofit. The application creates choropleth maps of Texas showing the geographic distribution of over 21,000 donor records. Users can filter and analyze donation patterns based on multiple parameters including donation amounts, donor types, time periods, and donor characteristics. The tool serves an administrative and analytical purpose, helping the organization understand and visualize their donor base across Texas. Key functionalities include interactive filtering, multiple visualization options, data upload capabilities, and the ability to download static maps. The application connects to MongoDB for data storage and updates, allowing staff to maintain current donor information.	- Donor records (21,000+ entries) - Geographic data (Texas zip codes) - Temporal data (year ranges) - Categorical data: * Donor types (Business, Congregation, Foundation, Government, Individual) * Donor flags (Board Member, Client, Volunteer) * Giving levels (Small Gifts, Major Gifts) - Financial data (donation amounts) - Program location data - MongoDB database records	- Dash (Flash-based web framework) - Pandas (data manipulation) - Plotly (visualization) - MongoDB (database) - Python (primary programming language) - Choropleth mapping capabilities - Light/Dark mode interface options - Data upload/download functionality
Memory and Aging Project	MAP	Alzheimer's Disease; Parkinson's Disease; Lewy Body Dementia; Normal Controls	https://github.com/SpaceTimee/Fusion-JetBrainsMapleMono	SpaceTimee	github-actions[bot]; SpaceTimee		NO - This repository is focused on font development and typography, specifically creating a hybrid font that combines JetBrains Mono and Maple Mono fonts. It has no direct connection to biomedical research or healthcare applications.	This repository contains an automated font fusion project that combines JetBrains Mono and Maple Mono fonts into a single unified font family. The project uses GitHub Workflows and Bash scripting to automatically check for updates to the source fonts every 5-30 minutes, then builds, merges, and optimizes the combined font. The resulting font features perfect CJK (Chinese, Japanese, Korean) and Latin character alignment, multiple weights, ligature support, and Nerd Font compatibility. The automation pipeline includes font metadata overwriting, anchor point ordering, hint information insertion, and various optimization processes. The project automatically publishes new releases when source fonts are updated.	- Font files (.zip archives containing font files) - Metadata for font properties - Release information and version data - Configuration files for GitHub Workflows - Image files for font showcase (referenced in README)	- GitHub Workflows for automation - Bash scripting - Font optimization tools (specific tools not specified but mentioned for: - Metadata overwriting - Anchor point management - Hint information insertion - Control point optimization - Path overlap removal - GitHub Release system for distribution - CDN hosting (ZSFT)
